time_95	V4_95	time_5	V4_5
0	1.049808	0	1.049795
0.015	1.049804	0.025	1.049794
0.045	1.049802	0.045	1.049793
0.075	1.049801	0.065	1.049793
0.105	1.0498	0.09	1.049793
0.135	1.049799	0.115	1.049794
0.165	1.049799	0.145	1.049794
0.195	1.049799	0.175	1.049794
0.225	1.049799	0.195	1.049795
0.255	1.0498	0.225	1.049796
0.285	1.049801	0.255	1.049798
0.31	1.049802	0.285	1.049799
0.335	1.049803	0.315	1.049801
0.365	1.049805	0.34	1.049803
0.395	1.049807	0.37	1.049806
0.425	1.04981	0.4	1.049808
0.45	1.049811	0.43	1.049811
0.47	1.049813	0.46	1.049813
0.485	1.049814	0.48	1.049815
0.51	1.049816	0.51	1.049817
0.53	1.049817	0.54	1.049819
0.55	1.049819	0.57	1.049821
0.575	1.04982	0.585	1.049822
0.605	1.049822	0.6	1.049822
0.635	1.049823	0.62	1.049823
0.665	1.049824	0.645	1.049824
0.695	1.049825	0.665	1.049824
0.725	1.049825	0.695	1.049824
0.755	1.049826	0.725	1.049824
0.785	1.049826	0.75	1.049824
0.815	1.049825	0.78	1.049823
0.845	1.049825	0.81	1.049822
0.875	1.049825	0.84	1.049821
0.905	1.049824	0.87	1.049819
0.935	1.049824	0.9	1.049818
0.965	1.049823	0.925	1.049817
0.995	1.049823	0.955	1.049815
1.02	1.049823	0.98	1.049814
1.035	1.049823	1	1.049813
1.05	1.049823	1.015	1.049813
1.065	1.049823	1.03	1.049812
1.08	1.049824	1.045	1.049812
1.095	1.049824	1.06	1.049811
1.11	1.049824	1.075	1.049811
1.125	1.049825	1.09	1.049811
1.14	1.049825	1.105	1.049811
1.155	1.049825	1.12	1.04981
1.17	1.049826	1.135	1.04981
1.185	1.049827	1.15	1.04981
1.2	1.049827	1.165	1.04981
1.215	1.049828	1.18	1.049811
1.23	1.049829	1.195	1.049811
1.245	1.049829	1.21	1.049811
1.26	1.04983	1.225	1.049811
1.275	1.049831	1.24	1.049812
1.29	1.049832	1.255	1.049812
1.305	1.049833	1.27	1.049813
1.32	1.049833	1.285	1.049813
1.335	1.049834	1.3	1.049814
1.35	1.049835	1.315	1.049814
1.365	1.049836	1.33	1.049815
1.38	1.049837	1.345	1.049815
1.395	1.049838	1.36	1.049816
1.41	1.049839	1.375	1.049817
1.425	1.049839	1.39	1.049817
1.44	1.04984	1.405	1.049818
1.455	1.049841	1.42	1.049818
1.47	1.049842	1.435	1.049819
1.485	1.049842	1.45	1.04982
1.5	1.049843	1.465	1.04982
1.515	1.049844	1.48	1.049821
1.53	1.049844	1.495	1.049821
1.545	1.049845	1.51	1.049822
1.56	1.049845	1.525	1.049822
1.575	1.049846	1.54	1.049822
1.59	1.049846	1.555	1.049823
1.605	1.049847	1.57	1.049823
1.62	1.049847	1.585	1.049823
1.635	1.049847	1.6	1.049824
1.65	1.049848	1.615	1.049824
1.665	1.049848	1.63	1.049824
1.68	1.049848	1.645	1.049824
1.695	1.049848	1.66	1.049824
1.71	1.049848	1.675	1.049824
1.725	1.049848	1.69	1.049824
1.74	1.049848	1.705	1.049824
1.755	1.049848	1.72	1.049824
1.77	1.049848	1.735	1.049824
1.785	1.049848	1.75	1.049823
1.8	1.049848	1.765	1.049823
1.815	1.049848	1.785	1.049823
1.83	1.049848	1.8	1.049823
1.845	1.049848	1.815	1.049822
1.86	1.049848	1.83	1.049822
1.875	1.049848	1.845	1.049822
1.89	1.049848	1.86	1.049821
1.905	1.049847	1.875	1.049821
1.92	1.049847	1.89	1.049821
1.935	1.049847	1.905	1.04982
1.95	1.049847	1.92	1.04982
1.965	1.049847	1.935	1.04982
1.98	1.049847	1.95	1.049819
1.995	1.049846	1.965	1.049819
2.01	1.049846	1.98	1.049819
2.025	1.049846	1.995	1.049818
2.04	1.049846	2.01	1.049818
2.055	1.049845	2.025	1.049818
2.07	1.049845	2.04	1.049818
2.085	1.049845	2.06	1.049817
2.1	1.049845	2.075	1.049817
2.115	1.049844	2.09	1.049817
2.13	1.049844	2.105	1.049817
2.145	1.049844	2.12	1.049817
2.16	1.049844	2.135	1.049816
2.175	1.049844	2.15	1.049816
2.19	1.049843	2.165	1.049816
2.205	1.049843	2.185	1.049816
2.22	1.049843	2.2	1.049816
2.235	1.049843	2.215	1.049816
2.25	1.049842	2.23	1.049816
2.265	1.049842	2.245	1.049816
2.28	1.049842	2.26	1.049816
2.295	1.049841	2.275	1.049816
2.31	1.049841	2.29	1.049816
2.325	1.049841	2.305	1.049816
2.345	1.04984	2.32	1.049817
2.36	1.04984	2.335	1.049817
2.375	1.04984	2.35	1.049817
2.39	1.049839	2.365	1.049817
2.405	1.049839	2.38	1.049817
2.42	1.049839	2.395	1.049817
2.435	1.049838	2.41	1.049817
2.45	1.049838	2.425	1.049817
2.465	1.049838	2.44	1.049817
2.48	1.049837	2.455	1.049817
2.495	1.049837	2.47	1.049818
2.51	1.049836	2.485	1.049818
2.525	1.049836	2.5	1.049818
2.54	1.049836	2.515	1.049818
2.555	1.049835	2.53	1.049818
2.57	1.049835	2.545	1.049818
2.585	1.049834	2.56	1.049818
2.6	1.049834	2.575	1.049818
2.615	1.049833	2.59	1.049818
2.63	1.049833	2.605	1.049818
2.645	1.049832	2.62	1.049817
2.66	1.049832	2.635	1.049817
2.675	1.049831	2.65	1.049817
2.69	1.049831	2.665	1.049817
2.705	1.04983	2.68	1.049817
2.72	1.04983	2.695	1.049817
2.735	1.04983	2.71	1.049816
2.75	1.049829	2.725	1.049816
2.765	1.049829	2.74	1.049816
2.78	1.049828	2.755	1.049816
2.795	1.049828	2.77	1.049816
2.81	1.049827	2.785	1.049815
2.825	1.049827	2.8	1.049815
2.84	1.049826	2.815	1.049815
2.855	1.049826	2.83	1.049814
2.87	1.049826	2.845	1.049814
2.885	1.049825	2.86	1.049814
2.9	1.049825	2.875	1.049814
2.915	1.049825	2.89	1.049813
2.93	1.049824	2.905	1.049813
2.945	1.049824	2.92	1.049813
2.96	1.049824	2.935	1.049812
2.975	1.049823	2.95	1.049812
2.99	1.049823	2.965	1.049812
3.005	1.049823	2.98	1.049812
3.02	1.049822	2.995	1.049812
3.035	1.049822	3.01	1.049811
3.05	1.049822	3.025	1.049811
3.065	1.049822	3.04	1.049811
3.08	1.049822	3.055	1.049811
3.095	1.049822	3.07	1.049811
3.11	1.049821	3.085	1.049811
3.125	1.049821	3.1	1.04981
3.14	1.049821	3.115	1.04981
3.155	1.049821	3.13	1.04981
3.17	1.049821	3.145	1.04981
3.185	1.049821	3.16	1.04981
3.2	1.049821	3.175	1.04981
3.215	1.049821	3.19	1.04981
3.23	1.049821	3.205	1.04981
3.245	1.049821	3.22	1.04981
3.26	1.049821	3.235	1.04981
3.275	1.049821	3.25	1.04981
3.29	1.049822	3.265	1.049811
3.305	1.049822	3.28	1.049811
3.32	1.049822	3.295	1.049811
3.335	1.049822	3.31	1.049811
3.35	1.049822	3.325	1.049811
3.365	1.049822	3.34	1.049811
3.38	1.049822	3.355	1.049811
3.395	1.049823	3.37	1.049811
3.41	1.049823	3.385	1.049811
3.425	1.049823	3.4	1.049812
3.44	1.049823	3.415	1.049812
3.455	1.049823	3.43	1.049812
3.47	1.049824	3.445	1.049812
3.485	1.049824	3.46	1.049812
3.5	1.049824	3.475	1.049812
3.515	1.049824	3.49	1.049812
3.53	1.049825	3.505	1.049812
3.545	1.049825	3.52	1.049813
3.56	1.049825	3.535	1.049813
3.575	1.049825	3.55	1.049813
3.59	1.049826	3.565	1.049813
3.605	1.049826	3.58	1.049813
3.62	1.049826	3.595	1.049813
3.635	1.049826	3.61	1.049813
3.65	1.049827	3.625	1.049813
3.665	1.049827	3.64	1.049813
3.68	1.049827	3.655	1.049813
3.695	1.049827	3.67	1.049813
3.71	1.049828	3.685	1.049813
3.725	1.049828	3.7	1.049813
3.74	1.049828	3.715	1.049813
3.755	1.049828	3.73	1.049813
3.77	1.049828	3.745	1.049813
3.785	1.049829	3.76	1.049813
3.8	1.049829	3.775	1.049813
3.815	1.049829	3.79	1.049813
3.83	1.049829	3.805	1.049813
3.845	1.04983	3.82	1.049813
3.86	1.04983	3.835	1.049813
3.875	1.04983	3.85	1.049813
3.89	1.04983	3.87	1.049813
3.905	1.049831	3.885	1.049813
3.92	1.049831	3.9	1.049812
3.935	1.049831	3.915	1.049812
3.95	1.049831	3.93	1.049812
3.965	1.049831	3.945	1.049812
3.98	1.049832	3.96	1.049812
3.995	1.049832	3.975	1.049812
4.01	1.049832	3.99	1.049812
4.025	1.049832	4.005	1.049812
4.04	1.049833	4.02	1.049812
4.055	1.049833	4.035	1.049812
4.07	1.049833	4.05	1.049812
4.085	1.049833	4.065	1.049812
4.1	1.049833	4.08	1.049812
4.115	1.049834	4.095	1.049812
4.13	1.049834	4.11	1.049812
4.145	1.049834	4.125	1.049813
4.16	1.049834	4.14	1.049813
4.175	1.049834	4.155	1.049813
4.19	1.049835	4.17	1.049813
4.205	1.049835	4.185	1.049813
4.22	1.049835	4.2	1.049813
4.235	1.049835	4.215	1.049813
4.25	1.049835	4.23	1.049813
4.265	1.049835	4.245	1.049813
4.28	1.049835	4.26	1.049813
4.295	1.049835	4.275	1.049813
4.31	1.049836	4.29	1.049813
4.325	1.049836	4.305	1.049813
4.34	1.049836	4.32	1.049814
4.355	1.049836	4.335	1.049814
4.37	1.049836	4.35	1.049814
4.385	1.049836	4.365	1.049814
4.4	1.049836	4.38	1.049814
4.415	1.049836	4.395	1.049814
4.43	1.049836	4.41	1.049814
4.445	1.049836	4.425	1.049814
4.46	1.049836	4.44	1.049814
4.475	1.049836	4.455	1.049814
4.49	1.049836	4.47	1.049814
4.505	1.049836	4.485	1.049814
4.52	1.049836	4.5	1.049814
4.535	1.049836	4.515	1.049814
4.55	1.049836	4.53	1.049814
4.565	1.049836	4.545	1.049814
4.58	1.049836	4.56	1.049814
4.595	1.049835	4.575	1.049814
4.61	1.049835	4.59	1.049814
4.625	1.049835	4.605	1.049814
4.64	1.049835	4.62	1.049814
4.655	1.049835	4.635	1.049814
4.67	1.049835	4.65	1.049814
4.685	1.049835	4.665	1.049814
4.7	1.049835	4.68	1.049814
4.715	1.049834	4.695	1.049814
4.73	1.049834	4.71	1.049814
4.745	1.049834	4.725	1.049814
4.76	1.049834	4.74	1.049814
4.775	1.049834	4.755	1.049814
4.79	1.049834	4.77	1.049814
4.805	1.049833	4.785	1.049814
4.82	1.049833	4.8	1.049814
4.835	1.049833	4.815	1.049814
4.85	1.049833	4.83	1.049814
4.865	1.049833	4.845	1.049814
4.88	1.049833	4.86	1.049814
4.895	1.049832	4.875	1.049814
4.91	1.049832	4.89	1.049813
4.925	1.049832	4.905	1.049813
4.94	1.049832	4.92	1.049813
4.955	1.049832	4.935	1.049813
4.97	1.049831	4.95	1.049813
4.985	1.049831	4.965	1.049813
5	1.049831	4.98	1.049813
5.015	0.006234	4.995	1.049813
5.03	0.005647	5.01	0.006616
5.045	0.005543	5.025	0.006195
5.06	0.00556	5.04	0.005986
5.075	0.005587	5.055	0.006181
5.1	0.005622	5.07	0.00634
5.115	0.934327	5.085	0.006449
5.13	0.945354	5.1	0.899601
