A19	B8	color
-68.94009364391495	-20.087618931115525	0
-87.08230057093145	-31.511757303551928	0
-135.18352971105182	-14.171420460715293	1
-89.63919863756465	-16.979484342624154	0
-117.91832660102169	-30.62196732760058	2
-74.83538698288045	0.6860052201103057	0
-137.67495803217773	-21.632082819388078	2
-29.27522566630535	-0.4873394990294673	0
-68.82749442118119	-6.825153991643729	0
-131.61915174831756	-23.20637801676973	1
-161.75864334118012	-24.12439547554754	1
-69.39423638851721	-4.678034986675815	0
-112.20264202041534	-20.094902014418825	2
-128.47481348613283	-6.474960741699593	1
-151.552268010048	-23.714332612787295	1
-26.855849319567614	-0.29543458048616494	0
-130.55608786251497	-32.24737381995271	2
-88.70869329964731	-26.426333017440797	0
-136.2887760511395	-22.69239235249982	2
-111.69777986415352	-22.80099866164711	2
-120.23883597034191	-32.88461793363567	2
-103.36305797197562	-17.909839762022184	0
-91.56333755482792	-11.503422224656285	0
-85.89593270449018	-20.019074988777643	0
-144.39660694410946	-44.14325345540138	2
-126.25842067179708	-21.62045241358663	2
-52.116491598238255	-5.824720668078049	0
-89.50404601656126	-27.888482050074455	0
-120.58326798323087	-22.411173271658406	1
-72.62604287040061	-4.344137138665362	0
-177.22308898423597	-21.865959711551852	1
-57.33693293427311	-1.1141260974793363	0
38.99948907784907	14.618144140098732	0
-164.55352532197938	-21.954458976237632	1
-89.82477794400793	-22.424782237753284	0
-145.5640152705397	-40.4535211795377	2
-17.95157433639803	6.110205308126107	0
-102.96531586343609	-17.101764668938728	0
-62.98790931512771	7.5814968384955685	0
-84.45234327198965	-28.676258193744125	0
-92.09480768776676	1.3807835522705898	0
-168.77262483680744	-29.87905799167597	1
-136.5716127608269	-20.017018909119166	2
-62.46997173454957	-22.2183107081917	0
-95.30157598645876	-19.59667669032989	2
-178.6541540486179	-12.838753659707402	1
-110.80304575384827	-22.522908993621222	0
-79.89240843091429	1.0812152412322849	0
-67.8875203512233	-9.123032581366202	0
-156.05397715477295	-24.90914472684106	1
-54.0335188103147	4.832904372684233	2
-75.00065441237514	-8.796988111006632	0
-124.99620131585907	-4.504146174834678	2
-152.34286744414652	-46.24661826582161	2
-44.51460615320804	-12.713882865740231	0
-53.230638145577494	-4.846146531157155	2
-151.94875643820492	-12.906316986282743	1
-43.76345643991076	-20.803959280836064	0
-84.08038956275819	-3.2864370795474884	2
-77.64372097621359	-22.100555722666037	0
-75.54942803165592	15.292390429544472	2
-116.24898487415139	-31.36524380146418	0
-15.892931209811302	-11.992996132286171	0
-144.64406398823363	-12.525481013897654	1
-140.57070465084433	-11.694315025535472	1
-85.54175950378577	-17.65695474091336	0
-123.52275103277968	-19.375322137342565	2
-120.60704925715808	-44.040486270598656	2
-136.63733239501968	-33.14068556922732	0
-129.57447756821514	-15.151437749365193	2
-74.22806210229692	-19.379976402400402	0
-102.55303578419903	-22.157578856702962	0
-122.6879353459311	-34.24049651743635	2
-114.12073133043053	-22.838517060253874	0
-158.41015853886523	-32.884260408004934	1
-129.66417136166598	-45.59096766429718	2
-64.86572790638601	-5.640127761532997	0
-164.30623226885578	-28.315926884154763	2
-97.06451467312192	-7.524080013552194	0
-176.288141778995	-38.03649670135221	1
-26.757676409763736	2.0284366313734488	0
-116.6083969346058	-14.15496126823311	0
-105.02126044925116	-27.17446020726802	2
-120.26108440974717	-35.87272014008193	2
-102.63176834344696	-21.606031683682463	0
-133.9169406129917	-18.499511889004168	1
-64.65263029654508	-13.655913221362779	0
-65.39141817893415	-24.917747315898414	0
-82.38205286026746	-1.8302345088573522	0
-137.5817967156273	-25.758374158369506	2
-72.07195425708355	-13.054593629365364	0
-95.33964258403664	-15.104666144592244	0
-150.22142349272164	-31.31412522087657	1
-115.32078464925328	-25.468277994258614	2
-151.14458964908957	-38.06986899484009	2
-37.795801812578325	-2.0256645839391996	0
-62.34093384998173	-30.714643852670537	0
-131.04860473536456	-25.885628773687596	2
-57.14991862399117	-10.381216246637633	0
-34.57910301007186	2.9440491870295467	0
-48.87239766923891	1.4396213571711591	0
-95.68730373187279	-2.1639110455268047	2
-51.103303826418866	-2.4532164625360084	0
-20.64953335698582	3.4889225556318326	0
-61.221252912528115	-14.795115340926875	0
-161.44364343150215	-22.431003019313042	1
-88.93503751743027	-32.08840497045573	0
-23.766613647409958	-0.8714303585925891	0
-86.5036387050958	-0.6818532398163621	0
-101.99691415230328	-24.998208869915125	0
-71.16827976502674	-20.318975282244363	0
-41.90128312067887	-2.366982070639124	0
-34.47877689924664	-5.708465602514076	0
-30.96866450287983	-14.285368523378656	0
-51.12816989150839	-17.236892330531507	0
-92.86745537439585	-25.262358825803755	0
-103.15694707400942	-19.8500866867053	0
-11.002115494604842	-9.507138596266012	0
-131.24034558680486	-14.409414037475992	1
-52.647340076353046	-2.9745559410335116	0
-67.16587740215026	-2.6476014764306957	0
-35.589307611926465	-13.299410651801876	0
-77.6633409454768	-9.166879835951965	2
-125.97258864974224	-15.970743077861849	2
-68.4408064014345	-6.435033692572145	0
-113.35692020332142	-9.152148492133298	2
-104.27824182358405	-20.863971169436315	2
-69.60060711855857	-19.168337227088344	0
-60.16587487309296	-11.755563924186033	0
-117.6909511317917	-10.845750568794294	0
-120.41131794808047	-17.69975165119472	2
-76.39184942691348	-21.742255686853188	0
-102.99643880279265	-15.768315625969858	0
-78.56161788632876	-9.038434506801867	0
-66.81758793278338	-15.15877381868697	0
-73.86887812622447	0.0977584743244789	0
-85.60244039711344	-8.799955986436999	0
-80.56406184109794	4.442720683656006	0
-51.9067705023453	-10.977183356306702	0
-119.17324998532554	-15.194983898356998	2
-68.85875790808123	-5.177600846934281	0
-71.01386088852806	0.08835527935997704	0
-124.30594090861335	-16.615866624390126	2
-76.42887661188985	-5.513204421774254	0
-48.45992313826128	-21.02352090068417	0
-140.4995585855851	-20.10569891010214	2
-142.45146738891034	-25.74652804788672	1
-53.660134397845795	-6.289257566625066	0
-43.46906122390454	-12.061931481163093	0
-39.0743203252211	-5.051925927603045	0
-3.142771620321219	-4.425668547567377	0
-32.623186611325536	-14.983325477213324	0
-110.33428302780732	-28.098250037356642	2
-59.38171166134221	-10.30154582521194	0
-75.61917617093185	-24.802510653114183	0
-114.8013056620657	-16.966554531291205	2
-84.43489681611123	-1.2758983731289075	2
-109.12255270262294	-21.120520829424947	0
-57.474619515963234	-5.015331537344325	0
-90.13968350223537	2.813823051351623	0
-102.0031017170339	12.999938833076714	0
-82.93091047065133	-7.981116960601896	2
2.0625192358524425	-15.70138707189464	0
-143.10580417205924	-20.96816618657372	1
-65.2710010766908	-20.145204162248724	0
-31.491964874237354	-5.721588413816253	0
-102.5378736424879	-33.518084518507585	2
-84.88433083821292	-20.091884247827487	0
-73.4684914871624	-1.9303113281491726	0
-88.48215415094072	-16.78506578295921	0
-166.32308614049077	-21.67429555973434	1
-124.5424722597039	-23.870188204286695	2
-90.54706034876035	-20.397675696639546	0
-102.62558833046678	-18.253922313481194	2
-119.09775555662718	-40.288734103765535	0
-112.29160981491472	-16.868498889105872	2
-84.96635928631797	-10.885773019303587	0
-53.70210096870688	-1.401080025818829	0
-31.05302727716111	-10.039009654702264	0
-80.54196643491674	-15.163400490120921	0
-89.88012997149659	-25.746564287367924	0
-46.71753975747853	-3.9919295843239007	0
-173.76481530120049	-12.952874693155191	3
-85.74636435939861	-26.81076151168823	0
-87.42402797053242	-20.31315926834367	0
-121.42986562857334	-13.775335636994077	2
-133.58656880839558	-11.985354445132664	2
-68.38542516186435	-23.13390143502812	0
-106.91975679016107	-23.354522702238974	0
-99.52029790387293	-28.13921205732708	2
-145.1183789533872	-19.18748304003069	1
20.64345034451856	2.2883344604782008	0
-44.681024849028404	-4.3087838411408	0
-117.26266714959787	-12.684499744044942	2
-36.97752961091164	-22.888967008716293	0
-108.36309715117223	-25.057438614019446	0
-128.18658644783804	-34.03014331118546	0
-133.62271854968986	-26.236832976455222	1
-110.30844162025062	-16.727671760911125	0
-114.49739051415636	-30.875701133391015	0
-44.63500987043861	-1.8144024281609292	0
-119.69573166752265	-26.634465138771862	2
-71.34187261104536	1.552894374721575	0
-40.04340981538708	-7.392703782441654	0
-83.74432927205375	-22.419222854909368	0
-90.1903484345953	-35.79125153423466	0
-68.61932668669579	-5.313809775015841	0
-117.50108360678999	-11.813534712396974	2
-124.01641677071376	-16.914448254932214	1
-83.34357513184295	-15.5573593476621	0
-158.08771981328	-23.80698158775023	1
-75.61374539961257	-6.25455434754051	0
-98.7876307885303	12.041102564539491	1
-39.89967609137392	-20.208755901159137	0
-137.84195572604673	-27.36674522123414	1
-37.90467464960469	-19.430973434126113	0
-84.16881896646382	-19.934803367492286	0
-37.81118322244508	-1.4071180354218502	0
-153.29887692376488	-19.998337852150165	1
-72.15469333649419	-16.973913352892612	0
-129.61650176949053	-23.132451983704367	2
-46.05842198410797	-9.541366590875699	0
-84.64066382609357	-31.34754735127188	0
-112.72041997479975	-18.144407259499435	2
-42.569055792549996	-14.173537361254732	0
-32.660812226589435	-10.9039064162045	0
-139.90352811578347	-19.476533380915093	1
-119.53646593519215	-17.48480244258312	2
-101.78181121858114	-23.198293782914902	0
-93.07588095196114	-20.611186829315017	0
-149.66149032744894	-29.73392341884422	1
-95.8329834983729	-12.302711349015768	0
-87.29774560202121	-13.192259676704435	0
-27.910475018760128	-5.813771815779076	0
-44.86204401460979	-12.038802106853959	0
-100.09725359213557	-4.931567610592323	2
-81.01934015294248	-19.607604647943713	0
-64.9632448500687	-10.342228299285543	0
-158.51859529229364	-22.7725917399279	1
-94.28124008134363	-3.2759794392660213	0
-71.64900380199111	-7.138971443891501	0
-92.04712952661475	-17.088627782432642	0
-158.0629599774452	-23.680452388419692	1
-111.93105779353985	-24.231470123646616	0
-48.990491436462975	-7.890946472571596	0
-81.97284787747769	-23.470992608452686	0
-99.17365656349219	-14.052891953450935	2
-104.21562746295913	-19.694765672934587	0
-75.8151121603428	-4.635387416346761	0
-161.23803690999037	-21.898172492196643	1
-61.79627870715607	-9.146041718630626	0
-39.99560943899719	-5.762870403296785	0
-56.479068264186225	-26.32856261373277	0
-80.49230006809324	-20.770102765172798	0
-71.18447436599095	-19.464544587483974	0
-88.09936149012687	-15.495900649583664	0
-90.70864492817509	-19.105416602774383	0
-127.78996789579922	-16.77946361941589	2
-126.30888873372545	-22.571471689037264	2
-92.31745506239912	-20.93605192187642	0
-75.96116199394764	-17.952349213129708	0
-173.02778615995754	-25.116016124626018	1
-119.22010356102935	-15.87463816163839	2
-72.05069580227585	-14.810938865836398	0
-103.62082151424892	-15.262207786367954	0
-57.63249766111224	-12.271470662011279	0
