time,NETWORK_B-110_Upu_value,NETWORK_B-111_Upu_value,NETWORK_B-112_Upu_value,NETWORK_B-113_Upu_value,NETWORK_B-114_Upu_value,NETWORK_B-115_Upu_value,NETWORK_B-116_Upu_value,NETWORK_B-117_Upu_value,NETWORK_B-118_Upu_value,NETWORK_B-119_Upu_value,NETWORK_B-120_Upu_value,NETWORK_B-121_Upu_value,NETWORK_B-122_Upu_value,NETWORK_B-123_Upu_value,NETWORK_B-124_Upu_value,121_NUCLEAR_1_generator_thetaInternal_value,122_HYDRO_1_generator_thetaInternal_value
0,1.021468,0.967913,0.974648,0.965753,0.957736,0.951161,0.950356,0.949997,0.953203,0.953745,0.962808,0.959665,0.966618,0.96877,0.949996,0.922222,0.391423
0.01,1.021466,0.967911,0.974646,0.965751,0.957735,0.95116,0.950355,0.949995,0.953201,0.953743,0.962806,0.959663,0.966617,0.968769,0.949995,0.92222,0.391421
0.01,1.021466,0.967911,0.974646,0.965751,0.957735,0.95116,0.950355,0.949995,0.953201,0.953743,0.962806,0.959663,0.966617,0.968769,0.949995,0.92222,0.391421
0.024196,1.021464,0.967909,0.974644,0.965749,0.957733,0.951158,0.950353,0.949994,0.953199,0.953741,0.962804,0.959661,0.966615,0.968767,0.949993,0.922218,0.391419
0.038391,1.021462,0.967908,0.974643,0.965748,0.957731,0.951156,0.950351,0.949992,0.953198,0.95374,0.962803,0.95966,0.966614,0.968765,0.949991,0.922216,0.391417
0.048172,1.021462,0.967907,0.974642,0.965747,0.95773,0.951155,0.950351,0.949991,0.953197,0.953739,0.962802,0.959659,0.966613,0.968764,0.949991,0.922215,0.391416
0.048172,1.021462,0.967907,0.974642,0.965747,0.95773,0.951155,0.950351,0.949991,0.953197,0.953739,0.962802,0.959659,0.966613,0.968764,0.949991,0.922215,0.391416
0.048172,1.021462,0.967907,0.974642,0.965747,0.95773,0.951155,0.950351,0.949991,0.953197,0.953739,0.962802,0.959659,0.966613,0.968764,0.949991,0.922215,0.391416
0.048172,1.021462,0.967907,0.974642,0.965747,0.95773,0.951155,0.950351,0.949991,0.953197,0.953739,0.962802,0.959659,0.966613,0.968764,0.949991,0.922215,0.391416
0.068124,1.02146,0.967905,0.97464,0.965745,0.957729,0.951154,0.950349,0.94999,0.953196,0.953738,0.962801,0.959658,0.966612,0.968763,0.949989,0.922214,0.391414
0.088076,1.021459,0.967904,0.974639,0.965744,0.957728,0.951153,0.950348,0.949989,0.953194,0.953737,0.9628,0.959656,0.966611,0.968762,0.949988,0.922213,0.391414
0.099151,1.021458,0.967904,0.974638,0.965743,0.957727,0.951152,0.950347,0.949988,0.953194,0.953736,0.962799,0.959656,0.96661,0.968761,0.949987,0.922213,0.391413
0.099151,1.021458,0.967904,0.974638,0.965743,0.957727,0.951152,0.950347,0.949988,0.953194,0.953736,0.962799,0.959656,0.96661,0.968761,0.949987,0.922213,0.391413
0.117402,1.021457,0.967903,0.974638,0.965743,0.957727,0.951151,0.950347,0.949987,0.953193,0.953735,0.962798,0.959655,0.966609,0.968761,0.949986,0.922212,0.391413
0.117402,1.021457,0.967903,0.974638,0.965743,0.957727,0.951151,0.950347,0.949987,0.953193,0.953735,0.962798,0.959655,0.966609,0.968761,0.949986,0.922212,0.391413
0.130629,1.021457,0.967902,0.974637,0.965742,0.957726,0.951151,0.950346,0.949987,0.953192,0.953735,0.962798,0.959655,0.966609,0.96876,0.949986,0.922212,0.391414
0.130629,1.021457,0.967902,0.974637,0.965742,0.957726,0.951151,0.950346,0.949987,0.953192,0.953735,0.962798,0.959655,0.966609,0.96876,0.949986,0.922212,0.391414
0.150498,1.021456,0.967901,0.974636,0.965741,0.957725,0.95115,0.950345,0.949986,0.953192,0.953734,0.962797,0.959654,0.966608,0.96876,0.949985,0.922212,0.391414
0.170368,1.021455,0.967901,0.974636,0.965741,0.957725,0.951149,0.950345,0.949985,0.953191,0.953733,0.962797,0.959653,0.966607,0.968759,0.949985,0.922212,0.391415
0.210107,1.021454,0.9679,0.974635,0.96574,0.957724,0.951148,0.950344,0.949984,0.95319,0.953733,0.962796,0.959652,0.966606,0.968758,0.949983,0.922213,0.391417
0.249845,1.021454,0.967899,0.974634,0.965739,0.957723,0.951148,0.950343,0.949984,0.953189,0.953732,0.962795,0.959652,0.966606,0.968758,0.949983,0.922214,0.39142
0.301087,1.021453,0.967899,0.974634,0.965739,0.957723,0.951147,0.950343,0.949983,0.953189,0.953732,0.962795,0.959651,0.966605,0.968758,0.949982,0.922215,0.391424
0.301087,1.021453,0.967899,0.974634,0.965739,0.957723,0.951147,0.950343,0.949983,0.953189,0.953732,0.962795,0.959651,0.966605,0.968758,0.949982,0.922215,0.391424
0.320786,1.021453,0.967899,0.974634,0.965739,0.957723,0.951147,0.950343,0.949983,0.953189,0.953732,0.962795,0.959651,0.966605,0.968758,0.949982,0.922216,0.391425
0.340485,1.021453,0.967899,0.974634,0.965739,0.957723,0.951148,0.950343,0.949983,0.953189,0.953732,0.962796,0.959652,0.966605,0.968758,0.949982,0.922216,0.391427
0.379883,1.021454,0.967899,0.974634,0.965739,0.957724,0.951148,0.950343,0.949984,0.95319,0.953732,0.962796,0.959652,0.966606,0.968759,0.949983,0.922217,0.391429
