id	share	std_dev	FoM	FoM_no_indic	std_dev_no_indic
1	38.88888889	10.53	0.095866472	0.190330554	11.16284014
2	38.88888889	4.467500644	0.022995473	0.05552609	4.354104155
3	32.89473684	2.43575273	0.102722933	0.234292663	2.780774137
4	26.66666667	5.114633242	0.095313032	0.198332182	6.421987231
5	25.71428571	3.013059434	0.076248446	0.072082449	5.475232517
6	25	9.924	0.058034579	0.133276035	11.33481548
7	19.88304094	30.36409004	0.121475769	0.190802848	36.01109244
8	17.10526316	2.397394419	0.057908232	0.108264564	2.384542891
9	16.66666667	10.95235591	0.111907305	0.115113982	16.66447995
10	16.41791045	14.0215093	0.19360327	0.198826689	14.86656652
