time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
0,1.014647,2.889324,-0.054208,0.356189296220075,-0.00668263904273035
0.06,1.014649,2.889321,-0.0542,0.356191106976708,-0.006681693726013
0.12,1.01465,2.889314,-0.054195,0.356192694536789,-0.00668112329792515
0.24,1.01465,2.889298,-0.05419,0.356194688744277,-0.00668058129796663
0.48,1.014649,2.889296,-0.054201,0.356194182173487,-0.00668193250812141
0.72,1.014647,2.889306,-0.054215,0.356191481299853,-0.00668358462505236
1.2,1.014645,2.889307,-0.054224,0.356189912284216,-0.00668466237879856
1.68,1.014644,2.889303,-0.054224,0.356189702954098,-0.00668466770462738
2.64,1.014644,2.889304,-0.054221,0.356189593638451,-0.0066842935034425
4.56,1.014644,2.889306,-0.054219,0.35618935650525,-0.00668403786942544
4.999999,1.014644,2.889306,-0.054219,0.35618935650525,-0.00668403786942544
4.999999,0.300025,0.490289,-1.585681,0.0160207219099783,-0.0518138370204844
5,0.300025,0.49029,-1.585677,0.0160208226576352,-0.0518139264706419
5,0.300024,0.490291,-1.585673,0.0160208166088723,-0.051813670523506
5.000002,0.300023,0.490293,-1.585665,0.0160209113080695,-0.0518135040257764
5.000004,0.30002,0.490297,-1.585648,0.0160210123517559,-0.0518128526047213
5.000009,0.300015,0.490304,-1.585615,0.0160212758192741,-0.0518118866217251
5.000019,0.300005,0.490318,-1.585549,0.0160218027516698,-0.0518099546235448
5.00004,0.299984,0.490347,-1.585418,0.0160227583044067,-0.0518056996891098
5.00006,0.299963,0.490376,-1.585287,0.0160237138078714,-0.0518014445881101
5.00008,0.299943,0.490405,-1.585157,0.0160247576615822,-0.0517975077345473
5.000101,0.299922,0.490434,-1.585028,0.0160256761690204,-0.051793198364775
5.000121,0.299901,0.490464,-1.584899,0.0160266215834062,-0.051788870377681
5.000142,0.299881,0.490494,-1.58477,0.0160276738301716,-0.0517848875946313
5.000162,0.29986,0.490524,-1.584642,0.0160286006753037,-0.0517805323109872
5.000182,0.29984,0.490554,-1.584515,0.0160296159130133,-0.05177649526537
5.000203,0.29982,0.490585,-1.584388,0.0160306580677365,-0.0517724395866666
5.000243,0.299779,0.490647,-1.584136,0.0160325983397553,-0.0517639284527301
5.000284,0.299738,0.490709,-1.583885,0.016034519884758,-0.0517553897068729
5.000325,0.299698,0.490773,-1.583637,0.0160365466506641,-0.0517470778307236
5.000366,0.299657,0.490837,-1.583391,0.0160384291613301,-0.0517383660730295
5.000406,0.299617,0.490902,-1.583147,0.0160404083977064,-0.0517299266118365
5.000447,0.299577,0.490968,-1.582905,0.0160423773067381,-0.0517214141262207
5.000529,0.299497,0.491102,-1.582427,0.0160462570689587,-0.0517041886102299
5.00061,0.299418,0.49124,-1.581956,0.0160502208293628,-0.0516870432829888
5.000692,0.299339,0.491381,-1.581493,0.0160541157960226,-0.0516696244921948
5.000773,0.29926,0.491524,-1.581037,0.0160579333203506,-0.0516519777732261
5.000936,0.299105,0.49182,-1.580146,0.0160657650507981,-0.0516169622665985
5.001099,0.298951,0.492128,-1.579283,0.0160735000384945,-0.0515813068171162
5.001425,0.298649,0.492774,-1.577632,0.0160890029546328,-0.0515094666303889
5.002058,0.29808,0.494137,-1.574678,0.016119095759549,-0.0513671015780139
5.002058,0.29808,0.494137,-1.574678,0.016119095759549,-0.0513671015780139
5.00206,0.298078,0.494143,-1.574668,0.0161192264615835,-0.0513665681671272
5.002063,0.298076,0.494148,-1.574657,0.016119349027078,-0.0513660801641039
5.002068,0.298071,0.494159,-1.574636,0.0161194941258408,-0.0513647140947296
5.002077,0.298063,0.494181,-1.574594,0.0161200006054458,-0.0513626712344898
5.002097,0.298046,0.494225,-1.574509,0.0161209239099433,-0.0513582675593523
5.002135,0.298012,0.494314,-1.574341,0.0161227594565958,-0.0513493877285622
5.002213,0.297944,0.494492,-1.574008,0.0161263723832254,-0.0513315466017162
5.002242,0.297918,0.494561,-1.573881,0.0161277721461708,-0.0513246983753013
5.002242,0.297918,0.494561,-1.573881,0.0161277721461708,-0.0513246983753013
5.002367,0.29781,0.494853,-1.573355,0.0161336970032926,-0.0512961078312457
5.002415,0.297769,0.494966,-1.573157,0.0161359701409184,-0.0512851678276422
5.002415,0.297769,0.494966,-1.573157,0.0161359701409184,-0.0512851678276422
5.002418,0.297766,0.494973,-1.573145,0.0161360560858646,-0.0512843245009273
5.00242,0.297764,0.494979,-1.573134,0.0161362050140733,-0.0512838175732894
5.002426,0.297759,0.494992,-1.573111,0.0161364398698555,-0.0512824673128218
5.002437,0.29775,0.495018,-1.573066,0.0161369992541611,-0.0512800844994448
5.002459,0.297731,0.49507,-1.572976,0.0161380094437573,-0.0512749743325258
5.002502,0.297693,0.495175,-1.572797,0.0161400370933052,-0.0512647082753353
5.00259,0.297619,0.495386,-1.572443,0.0161442582103045,-0.0512447380688712
5.002764,0.29747,0.495814,-1.571749,0.0161524780599798,-0.0512039620468466
5.003114,0.297177,0.496692,-1.570413,0.0161690229896727,-0.0511223130235253
5.003813,0.296605,0.49853,-1.56793,0.0162020564933767,-0.0509571950287047
5.004317,0.296203,0.499907,-1.56626,0.0162259316722351,-0.0508375112590042
5.004317,0.296203,0.499907,-1.56626,0.0162259316722351,-0.0508375112590042
5.005211,0.295511,0.502461,-1.563545,0.0162684496585093,-0.0506237362129876
5.00661,0.294473,0.506657,-1.559767,0.016335086739,-0.0502883197856337
5.007121,0.294106,0.508237,-1.558491,0.0163596576576623,-0.0501663185138975
5.007121,0.294106,0.508237,-1.558493,0.0163596197053766,-0.0501662665124569
