id	N_static	indic_1	indic_2
1	1421	0	0.1377
2	1421	0	0.1377
3	1419	0.001988	0.1379
4	1420	0.003725	0.1378
5	1421	0	0.1377
6	1420	0	0.1378
7	1400	0	0.1378
8	1465	0.042	0.1311
9	1400	0	0.1378
10	1400	0	0.1378
11	1322	0	0.1379
12	1550	0.0727	0.1171
13	1322	0	0.1379
14	1326	0.01123	0.1374
15	1322	0	0.1379
16	1322	0	0.1379
17	1303	0	0.1378
18	1307	0.01291	0.1373
19	1303	0	0.1378
20	1331	0.02993	0.1346
21	1303	0	0.1378
22	1304	0.007099	0.1377
23	1303	0	0.1378
24	2697	0.1081	0.06579
25	1310	0.01499	0.137
26	1693	0.08788	0.1058
27	1167	0	0.1378
28	1172	0.01364	0.137
29	1166	0.002456	0.1379
30	1178	0.02053	0.1363
31	1196	0.03316	0.1338
32	1170	0.01028	0.1374
33	1071	0	0.1376
34	1071	0	0.1376
35	1071	0	0.1376
36	1070	0	0.1377
37	1070	0	0.1377
38	1070	0	0.1377
39	1117	0	0.1247
40	1117	0	0.1247
41	1347	0.08101	0.1009
42	992	0	0.1377
43	1274	0.09827	0.09654
44	915	0	0.1376
45	932	0.006289	0.1351
46	915	0.002848	0.1376
47	915	0	0.1376
48	915	0	0.1376
49	713	0	0.1352
50	713	0	0.1352
51	707	0.01714	0.1363
52	747	0.03608	0.1288
53	713	0	0.1352
54	713	0	0.1352
55	713	0	0.1352
56	702	0.004499	0.1373
57	713	0	0.1352
58	713	0	0.1352
59	713	0	0.1352
60	713	0	0.1352
61	642	0	0.1376
62	642	0	0.1376
63	642	0	0.1376
64	642	0	0.1376
65	642	0	0.1376
66	642	0	0.1376
67	642	0	0.1376
68	642	0	0.1376
69	642	0	0.1376
70	649	0.02121	0.1356
71	642	0	0.1376
72	648	0.02131	0.1358
73	584	0	0.1375
74	599	0.03268	0.1338
75	584	0	0.1375
76	587	0.01784	0.1365
77	584	0	0.1375
78	584	0	0.1375
79	565	0	0.1374
80	565	0	0.1374
81	565	0	0.1374
82	565	0	0.1374
83	565	0	0.1374
84	565	0	0.1374
85	525	0	0.1377
86	525	0	0.1377
87	525	0	0.1377
88	527	0.006149	0.1371
89	525	0	0.1377
90	529	0.006418	0.1366
91	349	0	0.1379
92	349	0	0.1379
93	349	0.0009043	0.1379
94	349	0	0.1379
95	349	0	0.1379
96	349	0	0.1379
97	386	0.08108	0.1102
98	311	0	0.1375
99	311	0	0.1375
100	311	0	0.1375
101	311	0	0.1375
102	311	0	0.1375
103	234	0	0.1369
104	234	0	0.1369
105	234	0	0.1369
106	234	0	0.1369
107	234	0	0.1369
108	234	0	0.1369
109	196	0	0.1361
110	198	0.01827	0.1344
111	196	0	0.1361
112	196	0	0.1361
113	196	0	0.1361
114	196	0	0.1361
