Area	Zone	lat	lng
3	1	32.3359	-100.9156
2	1	33.7522	-100.9674
1	1	33.8251	-101.0997
7	1	29.9418	-95.5306
8	1	30.5924	-95.9178
7	1	29.9418	-95.5306
3	1	31.3603	-99.5514
4	1	26.3489	-97.6668
7	1	29.8222	-95.2194
3	1	32.4694	-100.6664
3	1	32.1982	-100.2686
3	1	31.0855	-100.6788
2	1	32.9698	-100.5242
4	1	27.4462	-99.4742
2	1	33.9153	-99.7403
1	1	31.5839	-102.9633
8	1	32.1246	-96.1013
2	1	33.4982	-96.3789
7	1	29.7189	-95.2319
1	1	31.255	-102.272
1	1	31.8414	-102.315
3	1	32.3182	-100.177
3	1	31.8908	-96.1131
6	1	30.2934	-97.7844
2	1	33.7039	-97.372
1	1	32.4601	-102.6728
5	1	33.646	-99.5329
2	1	33.4982	-96.3789
2	1	33.7039	-97.372
8	1	32.1246	-96.1013
4	1	28.1093	-97.7505
5	1	26.4656	-98.4111
1	1	30.9514	-102.4141
3	1	32.5145	-99.6564
3	1	32.1982	-100.2686
1	1	32.1408	-101.3986
1	1	32.2732	-101.4224
3	1	31.0486	-100.6231
1	1	31.7433	-101.4934
3	1	31.3603	-99.5514
4	1	26.5223	-97.6911
4	1	26.4512	-98.1775
4	1	26.4754	-97.6911
1	1	31.8414	-102.315
1	1	32.2353	-101.8367
7	1	29.4829	-95.6311
7	1	29.7029	-95.0718
7	1	29.6226	-95.0458
5	1	31.4745	-96.9571
4	1	26.6491	-99.0387
1	1	32.4601	-102.6728
1	1	31.995	-102.8283
2	1	33.6968	-95.5577
1	1	33.1509	-101.6792
1	1	32.9264	-101.6478
3	1	31.952	-100.7914
4	1	27.9959	-97.2967
2	1	33.6968	-95.5577
5	1	33.1662	-96.1726
5	1	33.1612	-96.2397
4	1	28.1093	-97.7505
4	1	28.1093	-97.7505
4	1	28.7128	-97.2142
1	1	30.9514	-102.4141
5	1	33.1662	-96.1726
8	1	29.2559	-95.2103
1	1	30.96	-103.35
1	1	30.9602	-103.3067
1	1	31.9362	-101.2983
1	1	31.9925	-101.1167
3	1	31.1125	-100.0281
1	1	31.952	-101.0189
1	1	31.8403	-102.3264
4	1	26.126	-97.3776
4	1	25.9131	-97.5214
3	1	32.7181	-100.7933
5	1	32.7283	-97.2192
4	1	26.3806	-98.8183
5	1	32.4302	-97.0537
5	1	32.32	-96.675
8	1	31.8908	-96.1131
7	1	28.795	-96.0481
5	1	32.7563	-96.4916
2	1	33.3454	-99.6243
7	1	29.4924	-94.9848
2	1	33.6308	-95.59
2	1	33.6308	-95.59
5	1	33.1708	-96.1264
3	1	32.3359	-100.9156
3	1	32.3359	-100.9156
3	1	32.3359	-100.9156
2	1	33.7522	-100.9674
2	1	33.7522	-100.9674
2	1	33.7522	-100.9674
2	1	33.7522	-100.9674
2	1	33.7522	-100.9674
