time	Percentile5	Percentile95
0	2.5764	2.5764
0.01	2.5763	2.5764
0.02	2.5763	2.5764
0.03	2.5763	2.5764
0.04	2.5763	2.5764
0.05	2.5763	2.5764
0.06	2.5763	2.5764
0.07	2.5763	2.5764
0.08	2.5763	2.5764
0.09	2.5763	2.5764
0.1	2.5763	2.5764
0.11	2.5763	2.5764
0.12	2.5763	2.5764
0.13	2.5763	2.5764
0.14	2.5763	2.5764
0.15	2.5763	2.5764
0.16	2.5763	2.5764
0.17	2.5763	2.5764
0.18	2.5763	2.5764
0.19	2.5763	2.5764
0.2	2.5763	2.5764
0.21	2.5763	2.5764
0.22	2.5763	2.5764
0.23	2.5763	2.5764
0.24	2.5763	2.5764
0.25	2.5763	2.5764
0.26	2.5763	2.5764
0.27	2.5763	2.5764
0.28	2.5763	2.5764
0.29	2.5763	2.5764
0.3	2.5763	2.5764
0.31	2.5763	2.5764
0.32	2.5763	2.5764
0.33	2.5763	2.5764
0.34	2.5763	2.5764
0.35	2.5763	2.5764
0.36	2.5763	2.5764
0.37	2.5763	2.5764
0.38	2.5763	2.5764
0.39	2.5763	2.5764
0.4	2.5763	2.5764
0.41	2.5763	2.5764
0.42	2.5763	2.5764
0.43	2.5763	2.5764
0.44	2.5763	2.5764
0.45	2.5763	2.5764
0.46	2.5763	2.5764
0.47	2.5763	2.5764
0.48	2.5763	2.5764
0.49	2.5763	2.5764
0.5	2.5763	2.5764
0.51	2.5763	2.5764
0.52	2.5763	2.5764
0.53	2.5763	2.5764
0.54	2.5763	2.5764
0.55	2.5763	2.5764
0.56	2.5763	2.5764
0.57	2.5763	2.5764
0.58	2.5763	2.5764
0.59	2.5763	2.5764
0.6	2.5763	2.5764
0.61	2.576345	2.5764
0.62	2.576345	2.5764
0.63	2.576345	2.5764
0.64	2.5764	2.5764
0.65	2.5764	2.5764
0.66	2.5764	2.5764
0.67	2.5764	2.5764
0.68	2.5764	2.5764
0.69	2.5764	2.5764
0.7	2.5764	2.5764
0.71	2.5764	2.5764
0.72	2.5764	2.5764
0.73	2.5764	2.576455
0.74	2.5764	2.5765
0.75	2.5764	2.5765
0.76	2.5764	2.5765
0.77	2.5764	2.5765
0.78	2.5764	2.5765
0.79	2.5764	2.5765
0.8	2.5764	2.5765
0.81	2.5764	2.5765
0.82	2.5764	2.5765
0.83	2.5764	2.5765
0.84	2.5764	2.5765
0.85	2.5764	2.5765
0.86	2.5764	2.5765
0.87	2.5764	2.5765
0.88	2.5764	2.5765
0.89	2.5764	2.5765
0.9	2.5764	2.5765
0.91	2.5764	2.5765
0.92	2.5764	2.5765
0.93	2.5764	2.5765
0.94	2.5764	2.5765
0.95	2.5764	2.5765
0.96	2.5764	2.5765
0.97	2.5764	2.5765
0.98	2.5764	2.5765
0.99	2.5764	2.5765
1	-0.00612	0.07214
1.01	-0.107885	-0.003625
1.02	-0.109505	-0.003035
1.03	-0.10707	0.00159
1.04	-0.10518	0.0036
1.05	-0.10434	0.00347
1.06	-0.104575	0.0021
1.07	-0.10422	3.5E-05
1.08	-0.10422	-0.00242
1.09	-0.10452	-0.004005
1.1	-0.105175	-0.0064
1.11	-0.106455	-0.00829
1.12	-0.108545	-0.009225
1.13	-0.111295	-0.009275
1.14	-0.1142	-0.00827
1.15	-0.11735	-0.007625
1.16	-0.093935	0.657075
1.17	-0.094675	0.66369
1.18	-0.093205	0.66277
1.19	-0.097205	0.662485
1.2	1.799195	3.420045
1.21	2.266945	3.696895
1.22	2.3586575	3.794305
1.23	2.4114375	3.8655
1.24	2.4359525	3.92069
