time	VDrop6
0	2.5758
0.005	2.5757
0.005	2.5757
0.01	2.5756
0.015	2.5756
0.02	2.5756
0.025	2.5756
0.03	2.5755
0.035	2.5755
0.04	2.5755
0.045	2.5755
0.05	2.5755
0.055	2.5755
0.06	2.5755
0.065	2.5755
0.07	2.5754
0.075	2.5754
0.08	2.5754
0.085	2.5754
0.09	2.5754
0.095	2.5754
0.1	2.5754
0.105	2.5754
0.105	2.5754
0.11	2.5754
0.115	2.5754
0.12	2.5754
0.125	2.5754
0.13	2.5754
0.135	2.5754
0.14	2.5754
0.145	2.5754
0.15	2.5753
0.155	2.5753
0.16	2.5753
0.165	2.5753
0.17	2.5753
0.175	2.5753
0.18	2.5753
0.185	2.5753
0.19	2.5753
0.195	2.5753
0.2	2.5753
0.2	2.5753
0.205	2.5753
0.21	2.5753
0.215	2.5753
0.22	2.5753
0.225	2.5753
0.23	2.5753
0.235	2.5753
0.24	2.5753
0.245	2.5753
0.25	2.5753
0.255	2.5753
0.26	2.5753
0.265	2.5753
0.27	2.5753
0.275	2.5753
0.28	2.5753
0.285	2.5753
0.29	2.5753
0.295	2.5753
0.3	2.5753
0.305	2.5753
0.31	2.5753
0.315	2.5753
0.32	2.5753
0.325	2.5753
0.33	2.5753
0.335	2.5753
0.34	2.5753
0.345	2.5753
0.35	2.5753
0.355	2.5753
0.36	2.5753
0.365	2.5753
0.37	2.5754
0.375	2.5754
0.38	2.5754
0.385	2.5754
0.39	2.5754
0.395	2.5754
0.4	2.5754
0.405	2.5754
0.41	2.5754
0.415	2.5754
0.42	2.5754
0.425	2.5754
0.43	2.5754
0.435	2.5754
0.44	2.5754
0.445	2.5754
0.45	2.5754
0.455	2.5754
0.46	2.5754
0.465	2.5754
0.47	2.5754
0.475	2.5754
0.48	2.5754
0.485	2.5754
0.49	2.5754
0.495	2.5754
0.5	2.5754
0.505	2.5754
0.51	2.5754
0.515	2.5754
0.52	2.5754
0.525	2.5754
0.53	2.5754
0.535	2.5754
0.54	2.5754
0.545	2.5754
0.55	2.5754
0.555	2.5754
0.56	2.5754
0.565	2.5754
0.57	2.5754
0.575	2.5754
0.58	2.5754
0.585	2.5754
0.59	2.5754
0.595	2.5755
0.6	2.5755
0.605	2.5755
0.61	2.5755
0.615	2.5755
0.62	2.5755
0.625	2.5755
0.63	2.5755
0.635	2.5755
0.64	2.5755
0.645	2.5755
0.65	2.5755
0.655	2.5755
0.66	2.5755
0.665	2.5755
0.67	2.5755
0.675	2.5755
0.68	2.5755
0.685	2.5755
0.69	2.5755
0.695	2.5755
0.7	2.5755
0.705	2.5755
0.71	2.5755
0.715	2.5755
0.72	2.5755
0.725	2.5755
0.73	2.5755
0.735	2.5755
0.74	2.5755
0.745	2.5755
0.75	2.5755
0.755	2.5755
0.76	2.5755
0.765	2.5755
0.77	2.5755
0.775	2.5755
0.78	2.5755
0.785	2.5755
0.79	2.5755
0.795	2.5755
0.8	2.5755
0.805	2.5755
0.81	2.5755
0.815	2.5756
0.82	2.5756
0.825	2.5756
0.83	2.5756
0.835	2.5756
0.84	2.5756
0.845	2.5756
0.85	2.5756
0.855	2.5756
0.86	2.5756
0.865	2.5756
0.87	2.5756
0.875	2.5756
0.88	2.5756
0.885	2.5756
0.89	2.5756
0.895	2.5756
0.9	2.5756
0.905	2.5756
0.91	2.5756
0.915	2.5756
0.92	2.5756
0.925	2.5756
0.93	2.5756
0.935	2.5756
0.94	2.5756
0.945	2.5756
0.95	2.5756
0.955	2.5756
0.96	2.5756
0.965	2.5756
0.97	2.5756
0.975	2.5756
0.98	2.5756
0.985	2.5756
0.99	2.5756
0.995	2.5756
1	2.5756
1	0.0219
1.005	-0.0956
1.005	-0.0895
1.01	-0.1167
1.01	-0.1167
1.015	-0.1273
1.02	-0.1323
1.02	-0.1323
1.025	-0.1351
1.03	-0.137
1.035	-0.1387
1.035	-0.1387
1.04	-0.1408
1.045	-0.143
1.05	-0.1455
1.055	-0.148
1.06	-0.1507
1.065	-0.1534
1.07	-0.1561
1.075	-0.1588
1.075	-0.1588
1.08	-0.1614
1.085	-0.1641
1.09	-0.1667
1.095	-0.1693
1.1	-0.1718
1.105	-0.1742
1.11	-0.1766
1.115	-0.179
1.12	-0.1813
1.125	-0.1836
1.125	-0.1836
1.13	-0.1858
1.135	-0.188
1.135	-0.188
1.14	-0.1902
1.145	-0.1923
1.145	-0.1923
1.15	-0.1945
1.155	-0.1966
1.155	-0.1966
1.16	-0.1986
1.165	-0.2007
1.17	-0.2027
1.175	-0.2048
1.18	-0.2068
1.185	-0.2088
1.185	-0.2088
1.19	-0.2108
1.195	-0.2128
1.2	-0.2148
1.2	1.5503
1.205	2.1212
1.205	2.1212
1.20625	2.2167
1.20625	2.2167
1.20875	2.3155
1.21375	2.4191
1.21375	2.4191
1.21875	2.457
1.21875	2.457
1.22375	2.4882
1.22375	2.4882
1.22875	2.5121
1.23375	2.5323
1.23375	2.5323
1.23875	2.5494
1.24375	2.5637
1.24875	2.5756
1.24875	2.5756
1.25375	2.5851
1.25375	2.5851
1.25875	2.5861
1.26375	2.5855
1.26375	2.5855
1.26875	2.581
1.27375	2.5753
1.27875	2.5684
1.28375	2.5605
1.28375	2.5605
1.28875	2.5518
1.29375	2.5424
1.29875	2.5323
1.29875	2.5338
1.30375	2.5267
1.30875	2.52
1.31375	2.5137
1.31875	2.5076
1.32375	2.5016
1.32875	2.4956
1.33375	2.4895
1.33875	2.4833
1.33875	2.4833
1.34375	2.4771
1.34875	2.471
1.35375	2.4648
1.35875	2.4586
1.36375	2.4523
1.36875	2.446
1.37375	2.4396
1.37875	2.4333
1.38375	2.4269
1.38375	2.4269
1.38875	2.4228
1.39375	2.4188
1.39875	2.4148
1.40375	2.4108
1.40875	2.4068
1.41375	2.4028
1.41875	2.3989
1.42375	2.3949
1.42375	2.3949
1.42875	2.398
1.42875	2.3986
1.43375	2.4031
1.43875	2.408
1.44375	2.4132
1.44875	2.4185
1.45375	2.4241
1.45875	2.4298
1.46375	2.4356
1.46875	2.4415
1.47375	2.4475
1.47875	2.4535
1.48375	2.4595
1.48875	2.4655
1.49375	2.4715
1.49875	2.4775
1.50375	2.4836
1.50875	2.4896
1.51375	2.4956
1.51875	2.5016
1.52375	2.5076
1.52875	2.5135
1.53375	2.5195
1.53875	2.5254
1.54375	2.5314
1.54375	2.5303
1.54875	2.5332
1.55375	2.536
1.55875	2.5391
1.56375	2.5419
1.56875	2.5447
1.57375	2.5474
1.57875	2.5501
1.58375	2.5528
1.58875	2.5554
1.59375	2.5579
1.59875	2.5604
1.60375	2.5629
1.60875	2.5653
1.61375	2.5677
1.61875	2.57
1.62375	2.5723
1.62875	2.5746
1.63375	2.5768
1.63875	2.579
1.64375	2.5812
1.64875	2.5833
1.65375	2.5854
1.65875	2.5875
1.66375	2.5895
1.66875	2.5915
1.67375	2.5935
1.67875	2.5955
1.68375	2.5974
1.68875	2.5993
1.69375	2.6012
1.69875	2.6029
1.70375	2.6047
1.70875	2.6065
1.71375	2.6083
1.71875	2.6101
1.72375	2.6119
1.72875	2.6136
1.73375	2.6154
1.73875	2.6171
1.74375	2.6188
1.74875	2.6205
1.75375	2.6222
1.75875	2.6238
1.76375	2.6255
1.76875	2.6271
1.77375	2.6287
1.77875	2.6303
1.78375	2.6319
1.78875	2.6335
1.79375	2.6351
1.79875	2.6366
1.80375	2.6382
1.80875	2.6397
1.81375	2.6413
1.81875	2.6428
1.82375	2.6443
1.82875	2.6458
1.83375	2.6473
1.83875	2.6488
1.84375	2.6503
1.84875	2.6518
1.85375	2.6533
1.85875	2.6547
1.86375	2.6562
1.86875	2.6576
1.87375	2.6591
1.87875	2.6605
1.88375	2.662
1.88875	2.6634
1.89375	2.6648
1.89875	2.6663
1.90375	2.6677
1.90875	2.6691
1.91375	2.6705
1.91375	2.67
1.91875	2.6702
1.92375	2.67
1.92875	2.6694
1.93375	2.6686
1.93875	2.6675
1.93875	2.6681
1.94375	2.6681
1.94375	2.668
1.94875	2.6677
1.95375	2.6674
1.95875	2.6671
1.96375	2.6668
1.96875	2.6665
1.97375	2.6662
1.97875	2.6659
1.98375	2.6655
1.98875	2.6652
1.99375	2.6649
1.99875	2.6645
2.00375	2.6642
2.00875	2.6638
2.01375	2.6635
2.01875	2.6631
2.02375	2.6627
2.02875	2.6623
2.03375	2.662
2.03875	2.6616
2.04375	2.6612
2.04875	2.6608
2.05375	2.6604
2.05875	2.66
2.06375	2.6596
2.06875	2.6592
2.07375	2.6588
2.07875	2.6584
2.08375	2.658
2.08875	2.6576
2.09375	2.6572
2.09875	2.6567
2.10375	2.6563
2.10875	2.6559
2.11375	2.6555
2.11875	2.655
2.12375	2.6546
2.12875	2.6542
2.13375	2.6537
2.13875	2.6533
2.14375	2.6529
2.14875	2.6524
2.15375	2.652
2.15875	2.6515
2.16375	2.6511
2.16875	2.6506
2.17375	2.6502
2.17875	2.6498
2.18375	2.6493
2.18875	2.6489
2.19375	2.6484
2.19875	2.648
2.20375	2.6475
2.20875	2.6471
2.21375	2.6466
2.21875	2.6462
2.22375	2.6457
2.22875	2.6453
2.23375	2.6448
2.23875	2.6444
2.24375	2.6439
2.24875	2.6435
2.25375	2.643
2.25875	2.6426
2.26375	2.6421
2.26875	2.6417
2.27375	2.6412
2.27875	2.6408
2.28375	2.6403
2.28875	2.6399
2.29375	2.6394
2.29875	2.639
2.30375	2.6385
2.30875	2.6381
2.31375	2.6376
2.31875	2.6372
2.32375	2.6368
2.32875	2.6363
2.33375	2.6359
2.33875	2.6354
2.34375	2.635
2.34875	2.6346
2.35375	2.6341
2.35875	2.6337
2.36375	2.6333
2.36875	2.6328
2.37375	2.6324
2.37875	2.632
2.38375	2.6316
2.38875	2.6312
2.39375	2.6307
2.39875	2.6303
2.40375	2.6299
2.40875	2.6295
2.41375	2.629
2.41875	2.6286
2.42375	2.6282
2.42875	2.6278
2.43375	2.6274
2.43875	2.627
2.44375	2.6265
2.44875	2.6261
2.45375	2.6257
2.45875	2.6253
2.46375	2.6249
2.46875	2.6245
2.47375	2.6241
2.47875	2.6237
2.48375	2.6233
2.48875	2.6229
2.49375	2.6225
2.49875	2.6222
2.50375	2.6218
2.50875	2.6214
2.51375	2.621
2.51875	2.6206
2.52375	2.6202
2.52875	2.6199
2.53375	2.6195
2.53875	2.6191
2.54375	2.6187
2.54875	2.6184
2.55375	2.618
2.55875	2.6176
2.56375	2.6173
2.56875	2.6169
2.57375	2.6166
2.57875	2.6162
2.58375	2.6159
2.58875	2.6155
2.59375	2.6152
2.59875	2.6148
2.60375	2.6145
2.60875	2.6141
2.61375	2.6138
2.61875	2.6134
2.62375	2.6131
2.62875	2.6128
2.63375	2.6124
2.63875	2.6121
2.64375	2.6118
2.64875	2.6114
2.65375	2.6111
2.65875	2.6108
2.66375	2.6105
2.66875	2.6102
2.67375	2.6098
2.67875	2.6095
2.68375	2.6092
2.68875	2.6089
2.69375	2.6086
2.69875	2.6083
2.70375	2.608
2.70875	2.6077
2.71375	2.6074
2.71875	2.6071
2.72375	2.6068
2.72875	2.6065
2.73375	2.6062
2.73875	2.6059
2.74375	2.6056
2.74875	2.6053
2.75375	2.6051
2.75875	2.6048
2.76375	2.6045
2.76875	2.6042
