time	VDrop6
0	2.5764
0.01	2.576378
0.02	2.57637
0.03	2.576364
0.04	2.576344
0.05	2.576338
0.06	2.576324
0.07	2.576322
0.08	2.576318
0.09	2.576318
0.1	2.576316
0.11	2.576316
0.12	2.576314
0.13	2.576314
0.14	2.576314
0.15	2.576314
0.16	2.576314
0.17	2.576316
0.18	2.576316
0.19	2.576316
0.2	2.576316
0.21	2.576316
0.22	2.576316
0.23	2.576316
0.24	2.576316
0.25	2.576316
0.26	2.576316
0.27	2.576316
0.28	2.576316
0.29	2.576322
0.3	2.576324
0.31	2.576324
0.32	2.576326
0.33	2.57633
0.34	2.57633
0.35	2.57633
0.36	2.576334
0.37	2.576338
0.38	2.576342
0.39	2.576346
0.4	2.57635
0.41	2.576352
0.42	2.576354
0.43	2.576356
0.44	2.576358
0.45	2.576362
0.46	2.576364
0.47	2.576366
0.48	2.576368
0.49	2.576368
0.5	2.576374
0.51	2.576376
0.52	2.576378
0.53	2.576386
0.54	2.576386
0.55	2.576388
0.56	2.57639
0.57	2.57639
0.58	2.57639
0.59	2.57639
0.6	2.576392
0.61	2.576394
0.62	2.576394
0.63	2.576394
0.64	2.576396
0.65	2.576398
0.66	2.576398
0.67	2.576402
0.68	2.576402
0.69	2.576404
0.7	2.576404
0.71	2.576404
0.72	2.576404
0.73	2.576406
0.74	2.576408
0.75	2.576408
0.76	2.576408
0.77	2.576408
0.78	2.576408
0.79	2.57641
0.8	2.57641
0.81	2.57641
0.82	2.57641
0.83	2.576412
0.84	2.576412
0.85	2.576412
0.86	2.576414
0.87	2.576416
0.88	2.576418
0.89	2.576418
0.9	2.57642
0.91	2.57642
0.92	2.57642
0.93	2.57642
0.94	2.576422
0.95	2.576424
0.96	2.576426
0.97	2.576426
0.98	2.576432
0.99	2.576432
1	0.01953
1.01	-0.07564
1.02	-0.073242
1.03	-0.068004
1.04	-0.063954
1.05	-0.061162
1.06	-0.059296
1.07	-0.058168
1.08	-0.057588
1.09	-0.057462
1.1	-0.057748
1.11	-0.058392
1.12	-0.059366
1.13	-0.06065
1.14	-0.06222
1.15	-0.064074
1.16	0.189954
1.17	0.2444
1.18	0.272184
1.19	0.32095
1.2	2.659272
1.21	2.991414
1.22	3.072715
1.23	3.1333365
1.24	3.1820295
1.25	3.220412
1.26	3.252155
1.27	3.2787655
1.28	3.301203
1.29	3.32083
1.3	3.337923
1.31	3.353002
1.32	3.3671605
1.33	3.3800295
1.34	3.391869
1.35	3.402619
1.36	3.4124805
1.37	3.421658
1.38	3.430285
1.39	3.4383665
1.4	3.445893
1.41	3.4529835
1.42	3.459767
1.43	3.466217
1.44	3.4723945
1.45	3.478509
1.46	3.484474
1.47	3.4901785
1.48	3.4957045
1.49	3.5010715
1.5	3.50631
1.51	3.511313
1.52	3.5161015
1.53	3.5207085
1.54	3.525099
1.55	3.5293675
1.56	3.5334305
1.57	3.537311
1.58	3.541
1.59	3.5444395
1.6	3.547587
1.61	3.5504275
1.62	3.552974
1.63	3.555376
1.64	3.557583
1.65	3.559541
1.66	3.5613955
1.67	3.563103
1.68	3.5646855
1.69	3.5661225
1.7	3.5674535
1.71	3.568689
1.72	3.569819
1.73	3.5708745
1.74	3.5717425
1.75	3.572512
1.76	3.573167
1.77	3.573737
1.78	3.5742245
1.79	3.5746205
1.8	3.574905
1.81	3.575092
1.82	3.575206
1.83	3.575257
1.84	3.575248
1.85	3.5751965
1.86	3.575076
1.87	3.5749055
1.88	3.5747025
1.89	3.5744525
1.9	3.574147
1.91	3.5738155
1.92	3.573442
1.93	3.573033
1.94	3.57259
1.95	3.572111
1.96	3.5716015
1.97	3.5710675
1.98	3.5705035
1.99	3.5699185
2	3.5693205
2.01	3.5686785
2.02	3.5680275
2.03	3.567342
