Contingency	Rank	Frequency	Cost	Green	Yellow	Orange	Red	With consequences	With issues
A34_end1_DELAYED	1	0.1175	1.389	73.84	5.79	5.63	14.74	20.37	26.16
CA-1_end2_DELAYED	2	0.1675	1.007	73.67	14.86	7.81	3.66	11.47	26.33
CB-1_end2_DELAYED	4	0.18	0.435	88.58	2.95	6.96	1.51	8.47	11.42
C22_end1_DELAYED	6	0.15	0.3718	85.43	2.30	12.18	0.08	12.26	14.57
AB3_end1_DELAYED	7	0.1275	0.348	88.39	4.66	6.40	0.55	6.95	11.61
A25-1_end2_DELAYED	8	0.17	0.3334	87.75	5.42	6.00	0.83	6.83	12.25
CA-2_end2_DELAYED	15	0.1675	0.2165	95.90	3.58	0.00	0.52	0.52	4.10
B21_end2_DELAYED	17	0.1675	0.2018	92.47	2.14	4.65	0.74	5.39	7.53
C18_end2_DELAYED	20	0.0825	0.1775	86.54	2.12	11.35	0.00	11.35	13.46
C20_end2_DELAYED	23	0.0825	0.169	87.20	1.68	11.13	0.00	11.13	12.80
B22_end2_DELAYED	32	0.15	0.1245	92.42	2.92	4.58	0.08	4.67	7.58
A28_end1_DELAYED	33	0.04	0.121	98.20	0.77	0.26	0.77	1.03	1.80
A31-1_end2_DELAYED	35	0.09	0.1061	89.56	5.49	4.53	0.41	4.95	10.44
A22_end2_DELAYED	38	0.15	0.09288	92.09	3.96	3.96	0.00	3.96	7.91
A21_end2_DELAYED	40	0.1675	0.08519	91.96	4.88	3.16	0.00	3.16	8.04
B33-1_end2_DELAYED	41	0.075	0.08093	94.41	2.03	3.22	0.34	3.56	5.59
A33-1_end2_DELAYED	46	0.075	0.06762	92.96	3.76	3.11	0.16	3.27	7.04
B25-1_end2_DELAYED	73	0.17	0.03513	98.74	0.22	0.96	0.07	1.04	1.26
A29_end2_DELAYED	82	0.025	0.02433	98.98	0.00	0.00	1.02	1.02	1.02
B34_end1_DELAYED	105	0.1175	0.01691	91.00	8.13	0.87	0.00	0.87	9.00
B23_end2_DELAYED	107	0.0675	0.01586	96.98	1.13	1.89	0.00	1.89	3.02
B22_end1_DELAYED	128	0.15	0.006308	98.90	0.51	0.59	0.00	0.59	1.10
B30_end2_DELAYED	132	0.1825	0.00517	87.91	11.95	0.14	0.00	0.14	12.09
B34_end2_DELAYED	141	0.1175	0.002831	79.26	20.63	0.11	0.00	0.11	20.74
C26_end2_DELAYED	214	0.09	0	52.25	47.75	0.00	0.00	0.00	47.75
C26_end1_DELAYED	213	0.09	0	53.23	46.77	0.00	0.00	0.00	46.77

