Contingency	Rank	Frequency	Cost	Green	Yellow	Orange	Red	With_consequences	With_issues
A25-1_end1-BREAKER_end1-A25-2	3	0.017	0.8265	78.48	9.61	1.20	10.71	11.91	21.52
A23_end2-BREAKER_end2-A28	5	0.00675	0.4096	56.76	27.43	0.30	15.52	15.82	43.24
A23_end1-BREAKER_end2-A28	9	0.00675	0.3055	75.82	13.19	0.00	10.99	10.99	24.18
A34_end1-BREAKER_end1-CA-1	10	0.01175	0.2881	40.04	22.22	13.41	24.32	37.74	59.96
CA-1_end2-BREAKER_end2-A34	11	0.01675	0.2511	50.65	19.48	9.09	20.78	29.87	49.35
A28_end1-BREAKER_end1-A23	12	0.004	0.2283	50.00	35.00	2.50	12.50	15.00	50.00
A27_end2-BREAKER_end1-A24	13	0.0045	0.2266	80.85	8.51	0.00	10.64	10.64	19.15
A27_end1-BREAKER_end1-A24	14	0.0045	0.2242	74.58	13.56	0.00	11.86	11.86	25.42
A25-1_end2-BREAKER_end2-A25-2	16	0.017	0.2054	76.19	8.84	8.84	6.12	14.97	23.81
A34_end1-BREAKER_end1-A25-1	18	0.01175	0.1957	64.46	10.01	8.51	17.02	25.53	35.54
A25-1_end2-BREAKER_end2-A34	19	0.017	0.1933	69.72	8.45	5.63	16.20	21.83	30.28
A21_end2-BREAKER_end2-AB3	21	0.01675	0.1772	78.26	11.96	7.61	2.17	9.78	21.74
A26_end1-BREAKER_end1-A24	22	0.009	0.1754	92.47	1.08	1.08	5.38	6.45	7.53
A28_end2-BREAKER_end1-A23	24	0.004	0.1648	67.57	16.22	2.70	13.51	16.22	32.43
A34_end1-BREAKER_end1-A31-1	25	0.01175	0.1583	65.96	7.45	10.64	15.96	26.60	34.04
A34_end1-BREAKER_end1-A31-2	26	0.01175	0.1509	64.52	11.83	7.53	16.13	23.66	35.48
CA-1_end2-BREAKER_end2-A25-2	27	0.01675	0.1503	62.13	18.93	13.02	5.92	18.93	37.87
CA-1_end2-BREAKER_end2-A31-1	28	0.01675	0.1498	64.74	15.38	16.03	3.85	19.87	35.26
CA-1_end2-BREAKER_end2-A25-1	29	0.01675	0.1459	63.19	18.13	12.64	6.04	18.68	36.81
CA-1_end2-BREAKER_end2-A31-2	30	0.01675	0.1362	70.00	13.53	11.76	4.71	16.47	30.00
A34_end1-BREAKER_end1-A25-2	31	0.01175	0.131	67.03	7.69	9.89	15.38	25.27	32.97
AB3_end1-BREAKER_end1-A22	34	0.01275	0.1162	74.31	7.34	16.51	1.83	18.35	25.69
A22_end2-BREAKER_end2-AB3	36	0.015	0.1044	80.30	8.33	9.85	1.52	11.36	19.70
B21_end2-BREAKER_end2-B22	37	0.01675	0.09417	66.22	5.41	25.68	2.70	28.38	33.78
CB-1_end2-BREAKER_end2-B22	39	0.018	0.08976	77.14	2.86	17.14	2.86	20.00	22.86
B22_end2-BREAKER_end2-CB-1	42	0.015	0.07809	77.69	10.74	8.26	3.31	11.57	22.31
A30_end1-BREAKER_end2-A34	43	0.01825	0.07547	0.00	73.05	26.95	0.00	26.95	100.00
B21_end2-BREAKER_end2-CB-1	45	0.01675	0.07081	73.13	5.97	20.15	0.75	20.90	26.87
A25-1_end2-BREAKER_end2-CA-1	47	0.017	0.06241	68.06	18.75	10.42	2.78	13.19	31.94
C22_end1-BREAKER_end1-C18	48	0.015	0.06156	70.09	11.97	17.09	0.85	17.95	29.91
A30_end2-BREAKER_end2-A34	49	0.01825	0.06111	0.00	76.76	23.24	0.00	23.24	100.00
CB-1_end2-BREAKER_end2-B33-2	50	0.018	0.05753	83.33	3.12	12.50	1.04	13.54	16.67
A31-1_end2-BREAKER_end2-A34	51	0.009	0.05318	75.34	8.22	10.96	5.48	16.44	24.66
B33-1_end2-BREAKER_end2-B33-2	52	0.0075	0.05276	68.33	5.00	26.67	0.00	26.67	31.67
B23_end2-BREAKER_end2-B28	53	0.00675	0.05273	91.07	5.36	1.79	1.79	3.57	8.93
A24_end1-BREAKER_end1-A26	54	0.003	0.05017	96.00	0.00	0.00	4.00	4.00	4.00
CB-1_end2-BREAKER_end2-B33-1	55	0.018	0.04999	81.77	4.17	13.54	0.52	14.06	18.23
CB-1_end2-BREAKER_end2-B21	56	0.018	0.04948	81.35	4.66	12.95	1.04	13.99	18.65
A34_end2-BREAKER_end2-A30	57	0.01175	0.04505	0.00	75.25	24.75	0.00	24.75	100.00
A25-1_end2-BREAKER_end2-A31-1	58	0.017	0.04409	85.35	7.01	5.73	1.91	7.64	14.65
A25-1_end2-BREAKER_end2-A31-2	59	0.017	0.04396	81.20	6.77	11.28	0.75	12.03	18.80
A34_end1-BREAKER_end2-A30	60	0.01175	0.0439	0.00	74.51	25.49	0.00	25.49	100.00
A29_end2-BREAKER_end2-A31-2	61	0.0025	0.04347	95.65	0.00	0.00	4.35	4.35	4.35
A24_end1-BREAKER_end2-A27	62	0.003	0.04133	82.86	14.29	0.00	2.86	2.86	17.14
C22_end1-BREAKER_end1-C20	63	0.015	0.04004	72.27	10.08	17.65	0.00	17.65	27.73
CB-2_end2-BREAKER_end1-C27	64	0.018	0.0394	95.32	0.00	0.58	4.09	4.68	4.68
A24_end2-BREAKER_end2-A27	65	0.003	0.03931	79.17	16.67	0.00	4.17	4.17	20.83
B22_end2-BREAKER_end2-B21	66	0.015	0.03832	77.59	7.76	14.66	0.00	14.66	22.41
C20_end1-BREAKER_end2-C18	67	0.00825	0.03775	82.81	0.00	14.06	3.13	17.19	17.19
C22_end2-BREAKER_end1-C18	68	0.015	0.0368	90.68	0.00	9.32	0.00	9.32	9.32
B21_end2-BREAKER_end2-B33-2	69	0.01675	0.03648	87.79	2.29	9.92	0.00	9.92	12.21
AB3_end1-BREAKER_end1-A21	70	0.01275	0.03611	80.81	10.10	8.08	1.01	9.09	19.19
B21_end2-BREAKER_end2-B33-1	71	0.01675	0.03579	86.62	4.23	8.45	0.70	9.15	13.38
B22_end2-BREAKER_end2-B33-2	72	0.015	0.03562	88.14	2.54	8.47	0.85	9.32	11.86
C18_end1-BREAKER_end2-C20	74	0.00825	0.03333	83.58	0.00	16.42	0.00	16.42	16.42
CA-2_end2-BREAKER_end2-A31-2	75	0.01675	0.03155	95.65	3.26	0.00	1.09	1.09	4.35
B28_end1-BREAKER_end1-B23	76	0.004	0.02958	93.75	3.13	0.00	3.13	3.13	6.25
AB3_end1-BREAKER_end1-A33-2	77	0.01275	0.02931	84.26	2.78	12.96	0.00	12.96	15.74
A31-1_end1-BREAKER_end1-CA-2	78	0.009	0.02912	98.59	0.00	0.00	1.41	1.41	1.41
C18_end1-BREAKER_end2-C22	79	0.00825	0.02751	87.50	0.00	12.50	0.00	12.50	12.50
AB3_end1-BREAKER_end1-A33-1	80	0.01275	0.02533	81.58	8.77	9.65	0.00	9.65	18.42
C19_end1-BREAKER_end2-C23	81	0.00725	0.025	0.00	0.00	100.00	0.00	100.00	100.00
C19_end2-BREAKER_end2-C23	83	0.00725	0.02431	0.00	0.00	100.00	0.00	100.00	100.00
B22_end1-BREAKER_end2-B21	84	0.015	0.02354	90.08	2.48	7.44	0.00	7.44	9.92
C23_end2-BREAKER_end1-C19	85	0.00675	0.02336	0.00	0.00	100.00	0.00	100.00	100.00
C23_end1-BREAKER_end1-C19	86	0.00675	0.02325	0.00	0.00	100.00	0.00	100.00	100.00
B33-1_end2-BREAKER_end2-CB-1	87	0.0075	0.02284	83.05	3.39	13.56	0.00	13.56	16.95
B19_end1-BREAKER_end2-B23	88	0.00725	0.02258	0.00	0.00	100.00	0.00	100.00	100.00
A31-1_end2-BREAKER_end2-A31-2	89	0.009	0.02209	78.38	10.81	9.46	1.35	10.81	21.62
A19_end1-BREAKER_end2-A23	90	0.00725	0.02143	0.00	0.00	100.00	0.00	100.00	100.00
A19_end2-BREAKER_end2-A23	91	0.00725	0.02141	0.00	0.00	100.00	0.00	100.00	100.00
A31-1_end2-BREAKER_end2-CA-1	92	0.009	0.02128	66.67	20.83	11.11	1.39	12.50	33.33
B19_end2-BREAKER_end2-B23	93	0.00725	0.02101	0.00	0.00	100.00	0.00	100.00	100.00
B23_end2-BREAKER_end1-B19	94	0.00675	0.02101	0.00	0.00	100.00	0.00	100.00	100.00
C18_end2-BREAKER_end2-C22	96	0.00825	0.02092	71.88	9.38	18.75	0.00	18.75	28.13
C20_end2-BREAKER_end2-C22	97	0.00825	0.02083	76.71	6.85	16.44	0.00	16.44	23.29
B23_end1-BREAKER_end1-B19	98	0.00675	0.02071	0.00	0.00	100.00	0.00	100.00	100.00
A23_end2-BREAKER_end1-A19	99	0.00675	0.02059	0.00	0.00	100.00	0.00	100.00	100.00
A23_end1-BREAKER_end1-A19	101	0.00675	0.02013	0.00	0.00	100.00	0.00	100.00	100.00
A22_end2-BREAKER_end2-A33-2	102	0.015	0.01911	81.67	10.00	8.33	0.00	8.33	18.33
A31-1_end2-BREAKER_end2-A25-1	103	0.009	0.01818	81.69	9.86	7.04	1.41	8.45	18.31
B33-1_end2-BREAKER_end2-B22	106	0.0075	0.01627	85.00	3.33	11.67	0.00	11.67	15.00
CB-2_end1-BREAKER_end1-C27	109	0.018	0.01438	98.15	0.00	0.00	1.85	1.85	1.85
C20_end2-BREAKER_end2-C18	110	0.00825	0.01423	78.13	6.25	15.63	0.00	15.63	21.88
A33-1_end2-BREAKER_end2-AB3	111	0.0075	0.01301	81.67	6.67	11.67	0.00	11.67	18.33
A21_end2-BREAKER_end2-A22	113	0.01675	0.01282	89.23	5.38	5.38	0.00	5.38	10.77
A33-1_end2-BREAKER_end2-A33-2	114	0.0075	0.01273	81.67	6.67	11.67	0.00	11.67	18.33
C18_end2-BREAKER_end2-C20	116	0.00825	0.0123	81.25	4.69	14.06	0.00	14.06	18.75
CA-2_end2-BREAKER_end2-A29	117	0.01675	0.01199	94.38	5.00	0.00	0.63	0.63	5.63
C22_end2-BREAKER_end1-C20	118	0.015	0.01179	96.61	0.00	3.39	0.00	3.39	3.39
B21_end1-BREAKER_end2-B22	119	0.01675	0.01176	95.38	0.77	3.85	0.00	3.85	4.62
A21_end2-BREAKER_end2-A33-2	120	0.01675	0.0117	93.08	2.31	4.62	0.00	4.62	6.92
A22_end2-BREAKER_end2-A21	121	0.015	0.01069	88.89	6.84	4.27	0.00	4.27	11.11
B22_end2-BREAKER_end2-B33-1	122	0.015	0.01039	96.61	0.00	3.39	0.00	3.39	3.39
B25-1_end2-BREAKER_end2-B25-2	123	0.017	0.008996	98.50	0.00	0.75	0.75	1.50	1.50
B23_end2-BREAKER_end2-B24	124	0.00675	0.00885	93.22	1.69	5.08	0.00	5.08	6.78
C33-1_end2-BREAKER_end2-C33-2	126	0.0075	0.007241	96.67	0.00	3.33	0.00	3.33	3.33
A22_end2-BREAKER_end2-A33-1	129	0.015	0.005727	92.44	5.04	2.52	0.00	2.52	7.56
C20_end1-BREAKER_end2-C22	131	0.00825	0.005359	96.55	1.15	2.30	0.00	2.30	3.45
C27_end1-BREAKER_end2-CB-2	133	0.0045	0.005046	97.06	0.00	0.00	2.94	2.94	2.94
B34_end1-BREAKER_end1-B25-1	134	0.01175	0.005036	94.51	3.30	2.20	0.00	2.20	5.49
B25-1_end2-BREAKER_end2-B31-2	135	0.017	0.004928	98.50	0.00	1.50	0.00	1.50	1.50
A31-1_end2-BREAKER_end2-A25-2	136	0.009	0.004746	90.00	5.71	4.29	0.00	4.29	10.00
B25-1_end2-BREAKER_end2-B31-1	137	0.017	0.0047	98.50	0.00	1.50	0.00	1.50	1.50
B25-1_end2-BREAKER_end2-B34	138	0.017	0.004633	90.23	8.27	1.50	0.00	1.50	9.77
A33-1_end2-BREAKER_end2-A21	139	0.0075	0.003911	95.08	1.64	3.28	0.00	3.28	4.92
A21_end2-BREAKER_end2-A33-1	140	0.01675	0.003593	92.37	6.11	1.53	0.00	1.53	7.63
A33-1_end2-BREAKER_end2-A22	142	0.0075	0.00269	91.38	5.17	3.45	0.00	3.45	8.62
B33-1_end2-BREAKER_end2-B21	144	0.0075	0.001881	93.44	3.28	3.28	0.00	3.28	6.56
B22_end1-BREAKER_end1-B18	145	0.015	0.001861	97.46	0.85	1.69	0.00	1.69	2.54
B27_end1-BREAKER_end1-B23	146	0.0045	0.0009265	97.22	0.00	2.78	0.00	2.78	2.78
B26_end1-BREAKER_end1-B24	148	0.009	0.0007539	98.80	0.00	1.20	0.00	1.20	1.20
B20_end2-BREAKER_end2-B22	149	0.00825	0.0006915	98.46	0.00	1.54	0.00	1.54	1.54
B20_end2-BREAKER_end2-B18	150	0.00825	0.0006634	98.46	0.00	1.54	0.00	1.54	1.54
B23_end2-BREAKER_end2-B27	151	0.00675	0.0004175	98.39	0.00	1.61	0.00	1.61	1.61
B30_end1-BREAKER_end2-B34	477	0.01825	0	0.00	100.00	0.00	0.00	0.00	100.00
B30_end2-BREAKER_end2-B34	481	0.01825	0	0.00	100.00	0.00	0.00	0.00	100.00
C30_end1-BREAKER_end2-C34	618	0.01825	0	0.00	100.00	0.00	0.00	0.00	100.00
C30_end2-BREAKER_end2-C34	622	0.01825	0	0.00	100.00	0.00	0.00	0.00	100.00
B34_end1-BREAKER_end2-B30	520	0.01175	0	0.00	100.00	0.00	0.00	0.00	100.00
B34_end2-BREAKER_end2-B30	525	0.01175	0	0.00	100.00	0.00	0.00	0.00	100.00
C34_end1-BREAKER_end2-C30	666	0.01175	0	0.00	100.00	0.00	0.00	0.00	100.00
C34_end2-BREAKER_end2-C30	671	0.01175	0	0.00	100.00	0.00	0.00	0.00	100.00
C24_end1-BREAKER_end1-C26	552	0.003	0	52.17	47.83	0.00	0.00	0.00	47.83
C26_end2-BREAKER_end1-C24	579	0.009	0	52.86	47.14	0.00	0.00	0.00	47.14
C26_end2-BREAKER_end1-C25-2	581	0.009	0	55.95	44.05	0.00	0.00	0.00	44.05
C25-1_end1-BREAKER_end1-C26	564	0.017	0	58.33	41.67	0.00	0.00	0.00	41.67
C26_end2-BREAKER_end1-C25-1	580	0.009	0	60.00	40.00	0.00	0.00	0.00	40.00
A28_end2-BREAKER_end2-A32-2	326	0.004	0	73.33	26.67	0.00	0.00	0.00	26.67
