hour	other	hydro	gas	nuclear	solar	wind
0	1.245	-0.327	1.56	2.433	0	0.483
1	1.317	-0.496	1.538	2.433	0	0.435
2	1.283	-0.67	1.506	2.433	0	0.407
3	1.251	-0.534	1.448	2.432	0	0.424
4	1.228	-0.512	1.492	2.433	0	0.455
5	1.286	-0.543	1.583	2.434	0	0.513
6	1.361	0.04	2.014	2.434	0.007	0.546
7	1.505	0.196	2.216	2.433	0.124	0.544
8	1.551	0.504	2.175	2.433	0.374	0.636
9	1.483	0.271	2.425	2.433	0.779	0.582
10	1.49	0.04	2.412	2.432	1.178	0.613
11	1.489	-0.025	2.446	2.431	1.465	0.622
12	1.48	0.009	2.259	2.431	1.646	0.543
13	1.475	0.041	2.372	2.431	1.704	0.467
14	1.515	0.052	2.351	2.431	1.614	0.425
15	1.549	0.045	2.504	2.43	1.416	0.406
16	1.593	0.029	2.41	2.429	1.163	0.383
17	1.545	0.058	2.419	2.429	0.948	0.334
18	1.537	0.204	2.467	2.427	0.619	0.318
19	1.532	0.22	2.51	2.427	0.277	0.272
20	1.522	0.251	2.467	2.428	0.05	0.251
21	1.485	0.285	2.558	2.432	0	0.251
22	1.563	0.382	2.567	2.433	0	0.202
23	1.598	0.326	2.272	2.433	0	0.151
24	1.57	-0.073	1.926	2.434	0	0.119
25	1.502	-0.348	1.884	2.433	0	0.078
26	1.443	-0.561	1.841	2.434	0	0.079
27	1.425	-0.667	1.863	2.433	0	0.132
28	1.45	-0.55	1.836	2.433	0	0.202
29	1.522	-0.398	1.868	2.433	0	0.355
30	1.516	0.067	2.266	2.433	0.017	0.5
31	1.66	0.03	2.517	2.432	0.234	0.56
32	1.699	0.397	2.56	2.43	0.701	0.504
33	1.613	0.323	2.474	2.43	1.192	0.605
34	1.541	-0.055	2.201	2.43	1.467	0.738
35	1.517	0.006	2.368	2.429	1.563	0.682
36	1.596	0.025	2.382	2.43	1.756	0.691
37	1.598	0.02	2.272	2.431	1.892	0.744
38	1.579	0.019	2.128	2.431	1.931	0.774
39	1.582	0.019	2.058	2.43	1.778	0.713
40	1.581	0.018	2.128	2.43	1.553	0.62
41	1.561	0.018	2.158	2.43	1.144	0.632
42	1.54	0.017	2.273	2.43	0.697	0.712
43	1.509	0.017	2.342	2.43	0.279	0.74
44	1.479	0.016	2.267	2.428	0.043	0.765
45	1.495	0.161	2.294	2.427	0	0.728
46	1.552	0.36	2.282	2.429	0	0.635
47	1.497	0.184	2.296	2.431	0	0.564
48	1.379	-0.005	1.815	2.43	0	0.434
49	1.36	-0.279	1.793	2.431	0	0.337
50	1.361	-0.583	1.803	2.431	0	0.285
51	1.354	-0.719	1.775	2.431	0	0.343
52	1.409	-0.712	1.773	2.43	0	0.408
53	1.506	-0.32	1.778	2.431	0	0.465
54	1.649	-0.009	2.081	2.431	0.019	0.559
55	1.775	0.141	2.574	2.43	0.232	0.613
56	1.776	0.518	2.566	2.43	0.557	0.653
57	1.724	0.606	2.584	2.428	1.021	0.587
58	1.713	0.339	2.436	2.429	1.358	0.506
59	1.697	0.008	2.196	2.427	1.656	0.723
60	1.665	0.017	2.475	2.428	1.306	0.826
61	1.718	0.12	2.639	2.43	1.077	0.769
62	1.798	0.216	2.459	2.429	1.031	0.815
63	1.765	-0.013	2.016	2.426	0.977	0.964
64	1.722	-0.007	2.068	2.426	0.879	0.948
65	1.7	0.137	2.122	2.426	0.704	0.972
66	1.7	0.144	2.197	2.425	0.418	1.012
67	1.69	0.266	2.234	2.424	0.174	0.944
68	1.659	0.138	2.216	2.425	0.027	0.816
69	1.7	0.412	2.285	2.426	0	0.492
70	1.772	0.279	2.261	2.425	0	0.65
71	1.711	-0.006	2.081	2.425	0	0.807
72	1.527	0.002	1.924	2.428	0	0.702
73	1.521	-0.369	1.774	2.428	0	0.731
74	1.496	-0.726	1.819	2.429	0	0.681
75	1.46	-0.724	1.797	2.43	0	0.563
76	1.442	-0.72	1.857	2.43	0	0.468
77	1.546	-0.377	1.927	2.43	0	0.38
78	1.651	0.088	2.202	2.43	0.018	0.335
79	1.791	0.21	2.397	2.43	0.174	0.332
80	1.819	0.495	2.454	2.427	0.506	0.351
81	1.819	0.523	2.532	2.426	0.829	0.462
82	1.82	0.422	2.532	2.427	1.108	0.545
83	1.819	0.248	2.502	2.426	1.388	0.571
84	1.809	0.025	2.441	2.427	1.392	0.608
85	1.808	0.042	2.529	2.427	1.411	0.601
86	1.809	0.101	2.445	2.427	1.359	0.605
87	1.796	0.026	2.418	2.426	1.349	0.597
88	1.824	0.06	2.505	2.426	1.157	0.574
89	1.828	0.018	2.514	2.43	0.944	0.504
90	1.816	0.016	2.442	2.427	0.62	0.505
91	1.808	0.016	2.297	2.426	0.278	0.38
92	1.812	0.046	2.297	2.43	0.049	0.303
93	1.79	0.18	2.306	2.426	0	0.253
94	1.779	0.29	2.298	2.424	0	0.24
95	1.761	0.098	2.245	2.424	0	0.269
96	1.559	0.13	1.856	2.426	0	0.153
97	1.506	0.014	1.842	2.431	0	0.134
98	1.519	-0.288	1.796	2.43	0	0.079
99	1.57	-0.404	1.744	2.429	0	0.138
100	1.521	-0.663	1.672	2.428	0	0.18
101	1.511	-0.569	1.649	2.429	0	0.208
102	1.545	-0.039	1.63	2.428	0.015	0.265
103	1.621	-0.023	1.899	2.427	0.154	0.34
104	1.722	-0.003	1.94	2.424	0.366	0.295
105	1.79	0.184	2.034	2.424	0.734	0.278
106	1.766	0.109	1.868	2.428	1.316	0.286
107	1.681	0.017	1.982	2.427	1.497	0.212
108	1.635	-0.092	1.796	2.428	1.779	0.222
109	1.577	-0.361	1.795	2.427	1.935	0.225
110	1.532	-0.364	1.761	2.428	1.788	0.25
111	1.503	-0.36	1.79	2.428	1.608	0.263
112	1.493	-0.154	1.763	2.428	1.374	0.319
113	1.601	-0.034	1.76	2.427	1.095	0.385
114	1.618	-0.16	1.828	2.427	0.702	0.435
115	1.659	0.032	1.891	2.426	0.286	0.433
116	1.688	0.115	1.924	2.426	0.039	0.43
117	1.692	0.407	1.927	2.426	0	0.402
118	1.644	0.604	1.866	2.424	0	0.428
119	1.601	0.499	1.9	2.288	0	0.428
120	1.478	0.095	1.756	2.068	0	0.342
121	1.391	-0.013	1.693	2.011	0	0.279
122	1.285	-0.404	1.708	2.011	0	0.244
123	1.216	-0.523	1.744	2.012	0	0.171
124	1.241	-0.526	1.763	2.013	0	0.094
125	1.347	-0.411	1.733	2.01	0	0.079
126	1.436	-0.421	1.666	2.01	0.029	0.076
127	1.55	-0.042	1.678	2.009	0.251	0.092
128	1.667	0.123	1.695	2.01	0.635	0.097
129	1.711	0.309	1.744	2.01	1.015	0.078
130	1.738	0.239	1.712	2.01	1.268	0.067
131	1.659	0.181	1.757	2.01	1.397	0.101
132	1.654	0.249	1.741	2.009	1.455	0.127
133	1.661	0.252	1.641	2.008	1.48	0.144
134	1.622	0.169	1.655	2.009	1.37	0.153
135	1.617	0.038	1.651	2.009	1.085	0.173
136	1.638	0.02	1.663	2.009	0.839	0.248
137	1.637	0.029	1.737	2.008	0.454	0.303
138	1.647	0.126	1.811	2.007	0.255	0.33
139	1.625	0.234	1.814	2.006	0.112	0.384
140	1.581	0.228	1.798	2.006	0.019	0.452
141	1.54	0.209	1.824	2.007	0	0.452
142	1.544	0.217	1.855	2.007	0	0.478
143	1.512	0.162	1.764	2.007	0	0.592
144	1.203	-0.08	1.595	2.008	0	0.589
145	1.172	-0.181	1.564	2.009	0	0.526
146	1.147	-0.181	1.597	2.009	0	0.433
147	1.171	-0.181	1.704	2.011	0	0.33
148	1.141	-0.183	1.733	2.012	0	0.34
149	1.108	-0.006	1.707	2.01	0	0.393
150	1.188	-0.152	1.614	2.009	0.014	0.4
151	1.27	-0.182	1.714	2.01	0.106	0.332
152	1.354	-0.197	1.689	2.01	0.269	0.36
153	1.442	-0.018	1.591	2.009	0.461	0.478
154	1.479	0.123	1.71	2.006	0.447	0.475
155	1.501	0.313	1.765	2.006	0.391	0.605
156	1.527	0.567	1.733	2.005	0.394	0.773
157	1.563	0.461	1.746	2.005	0.374	0.943
158	1.597	0.188	1.725	2.004	0.376	1.057
159	1.592	0.139	1.699	2.006	0.407	1.172
160	1.591	-0.044	1.607	2.007	0.441	1.241
161	1.53	-0.06	1.548	2.006	0.613	1.244
162	1.419	-0.375	1.659	2.004	0.504	1.262
163	1.415	0.001	1.643	2.004	0.253	1.203
164	1.44	-0.014	1.611	2.002	0.055	1.026
165	1.417	-0.077	1.675	2.004	0	0.998
166	1.385	0.024	1.643	2.005	0	0.972
167	1.293	-0.103	1.59	2.005	0	0.886
