hour	coal	hydro	gas	nuclear	oil	solar	wind
0	901.2144799926729	91.20000006990352	222.2413134736438	400.0000000363868	0	0.0	1848.5105305039342
1	897.0319749820779	92.2699995895895	217.33560113349347	399.99999996794776	0	0.0	1773.0346618991666
2	898.1298316075339	101.23199714688819	217.1880060878505	399.99999960470046	0	0.0	1748.6041499610867
3	900.3347395745744	70.9659955983504	220.2501939017579	399.99999939136165	0	0.0	1794.277971720302
4	984.9719630221139	72.53399950740523	244.60808621294464	399.99999998394765	0	0.0	1829.19764744734
5	1359.2740412796777	67.9679996931828	244.85772542914384	399.9999999935222	0	0.0	1724.3821438346054
6	1746.421894585208	50.46599998154538	264.74872092073196	400.0000000255457	0	0.0	1612.419441164186
7	1956.0834951880317	59.2699996780487	329.9999992222901	399.9999999919183	0	0.0	1358.8999999971566
8	1350.6723971865733	153.6792975473505	316.8035998772674	400.00000002795	0	716.7365730210431	1165.2000000799349
9	1236.2057426260853	121.3155943152349	329.9998955830035	400.00000001905977	0	1259.0824080164184	775.300000017079
10	1306.2282109278199	209.02109921723053	330.000000022151	400.00000003744276	0	1431.539330555428	424.20000005122625
11	1473.4872374443532	163.69999980609003	308.971553757762	400.0000000121386	0	1514.563498360286	234.09999990443248
12	1628.2427236251087	164.66800008702393	286.5431124624309	400.00000003894263	0	1385.6256078024837	194.60000003332962
13	1270.2649889465279	158.82999999529633	511.8274357295762	400.0000000284702	0	1490.2380709667923	213.59999999228353
14	1176.8996027832131	109.29999996070192	845.8228992292276	400.00000002960513	0	1413.2635194042819	61.99999996914343
15	1512.8069805243072	98.13199988145186	775.5977651219732	400.00000002994796	0	1086.1966655446433	114.89999987496981
16	2005.5943661772353	155.11599952935242	1022.3496447767972	399.99999999839764	47.999999907122	380.68521555877464	141.89999982301296
17	1972.6958614669823	265.8601970960249	1399.2192995492883	399.999999402981	16.000000389692325	0.0	655.799999037725
18	1905.1456513478936	246.08917162249642	1372.9400097607622	399.99999992279714	0	0.0	762.4999998867381
19	1869.7676586006776	185.767999509158	1119.9480549257214	399.9999999764884	0	0.0	1019.0999999815347
20	1672.5259324228712	179.4019993923904	934.4510113064015	399.99999996728405	0	0.0	1248.09999995233
21	1465.45653170387	194.05548469651825	698.5452864099042	399.7324367480472	0	0	1384.6385376445442
22	1414.8271196692026	173.60000003852412	300.089608862138	400.0000000341163	0	0.0	1554.2000001418874
23	1264.1721983719792	176.46799972214518	299.536544597518	400.0000000003826	0	0.0	1438.6999999068657
24	1250.7335241013009	62.102000025369975	322.72816281595107	400.0000000320914	0	0.0	1384.3313464652044
