hour	coal	hydro	gas	nuclear	oil	solar	wind
0	1911.6077746575415	258.9790044211118	1078.4988734883007	400.00000002471336	0	0.0	547.1999996970582
1	1563.5174698934206	308.2658946440077	897.465538244095	400.0000000380182	0	0.0	876.6000000726668
2	1213.5202927929454	340.93681338197706	865.1040382410599	400.0000000176751	0	0.0	1133.9999991343389
3	1133.7953042012573	406.9404374850447	841.9620091483771	400.00000000319653	0	0.0	1192.2501790891388
4	1180.091583160773	474.3490405165176	849.6680999424543	400.00000003462566	0	0.0	1124.0226750766049
5	1382.9431659301176	546.8891160360122	836.6758178329965	400.0000000346374	0	0.9861750183233986	1063.8026735012495
6	1311.359244068128	628.36378238553	819.0298843340632	400.0000000320788	0	462.5093411184587	1008.7035185931488
7	1433.5843420565993	731.9358517284365	811.2271515254658	400.00000002886196	0	912.2480578919841	763.1719683955605
8	1752.791304060422	744.9407933204265	861.8629952304702	400.0000000242342	0	1162.6239654568217	547.1741672807143
9	1945.022158364161	813.6881518989146	981.4980583967803	399.9999999865191	0	1390.7299061727329	328.5658703864881
10	2070.1166672954237	724.2706347538502	1155.2412548031512	397.9285471724433	0	1652.0164479523564	227.22924150610095
11	2088.9493882536435	778.7452030568616	1407.1367214134543	400.000000011528	0	1660.6009767480493	178.73332599868786
12	2134.6589201846123	732.1786967043007	1672.1972382038107	400.00000002770645	0	1685.5980716078905	172.4572136362972
13	2157.9763846561304	781.1759885500387	1797.0733576688076	399.9999999417597	0	1690.0206931872292	158.11350821017425
14	2144.648109076984	810.8424415940877	2171.582912391703	399.4083164177572	0	1424.1789933278767	170.26268694834602
15	2124.6839453447865	829.4671116117921	2417.9312335582335	399.9999998914222	0	1134.1595988995682	198.3440132084168
16	2113.965770804669	861.4936380949995	2562.9598903849173	399.99999989080834	0	788.9068595348226	191.45279845911935
17	2081.1814912295486	843.9174713201826	2598.1468676109844	400.00000001730996	0	513.3674957988914	207.62984939685973
18	2098.0067031800945	846.8072535316356	2726.5768048461514	400.0000000188912	0	144.23380552830605	119.29999990697355
19	2118.4881810019533	817.8681276290246	2754.471194257297	400.00000003441255	23.999999976963636	0.0	125.40000001159095
20	2018.1469576692439	662.553392006297	2585.719069578968	400.0000000345158	0	0.0	309.30000002856696
21	1955.5005440153006	485.21744390308174	2440.3712016022614	400.0000000373755	0	0.0	175.895803168866
22	1944.342900225628	386.452994397873	2123.118750690613	400.00000003670755	0	0.0	96.40000000756856
23	1933.547913846969	253.46932799920754	1684.9110300354703	400.0000000266752	0	0.0	265.39999977130503
24	1561.9778041176735	218.37173248556385	1263.8218264210377	400.000000038231	0	0.0	838.500000075939
