x   sigma   coverage    SE
200     37.39524867494336       95.12756850470399       102.21379022948912
400     18.72632533274649       47.81136947534784       51.347855958901405
600     12.505976795335904      31.9250119736886        34.287109022570576
800     9.481727812169574       23.956030611217244      25.764210932020557
1000    7.647604968138738       19.17379953101516       20.64268515005394
1200    6.392644885525857       15.983365798716028      17.21435130604709
1400    5.563571720553997       13.702129028488866      14.788565522156143
1600    4.994685719698923       11.990226579739199      12.988934477933466
1800    5.153827588173107       10.656464535384368      11.837321284924178
2000    4.697596474640362       9.591703764754751       10.680271239503424
2200    4.337756021670338       8.720040329103892       9.739365002131073
2400    3.986838613448616       7.994420602446972       8.93340041073462
2600    3.691838161476973       7.3801159868468735      8.252016783177945
2800    3.6304493148910573      6.85273707017858        7.755009192837404
3000    3.3946772807708774      6.39645048882326        7.241437198274199
3200    3.188485089441159       5.997090327941314       6.792019549962725
3400    3.83961641007117        5.643349121499207       6.825689963924064
3600    3.9559794685123175      5.329170909308348       6.63700505769804
3800    3.8297650131009977      5.048646703414737       6.336870962192064
4000    3.6448315270709046      4.7965271966599925      6.024240201803791
4200    3.7003239994781025      4.567686081264586       5.878448250864496
4400    3.535836299273061       4.360365642868331       5.613815714357176
4600    3.382429421714331       4.171148251060983       5.370224066573744
4800    3.255252962115343       3.9974526784575994      5.155220631929205
5000    3.125840804882585       3.8378033291001974      4.94970859044465
5200    3.008192939767626       3.690395766013723       4.761118111607798
5400    2.9977015933201847      3.55355263367003        4.649080679323341
5600    2.8935413237056498      3.4267990403079702      4.485034342638624
5800    2.8065239123190646      3.308711717543325       4.338680640497432
6000    2.7175594016236047      3.1984873370393077      4.197076404659993
6200    2.631234068363413       3.095439313106821       4.062651506546372
6400    2.566882691517322       2.998698168409126       3.9472873542765363
6600    2.4912834899210097      2.907908780753207       3.8291548550998313
6800    2.4192730179346382      2.8224818639823597      3.717430000392194
7000    2.377804593086576       2.7417658397444518      3.6292195583752185
7200    2.311902170184353       2.665726215211077       3.52859574037133
7400    2.2504116134442964      2.593770236637201       3.4339476510846763
7600    2.193629103180212       2.5255628085812325      3.34521690513604
7800    2.1378320574585836      2.460887265772677       3.259799386578831
8000    2.290566235865392       2.399104805165095       3.3169862144803677
8200    2.2352498457753662      2.340658966677124       3.2365145251218665
8400    2.3203340007765005      2.284764729146836       3.256393671335346
8600    2.268405813504719       2.2316795964582967      3.1821468784439024
8800    2.232411690176765       2.1809031810199864      3.1208974093072936
9000    2.1865577629303723      2.1324587090857494      3.054245405429422
9200    2.140481977402393       2.0861334069257955      2.9889154700453284
9400    2.21246264577737        2.0416233882803607      3.0105177326389527
9600    2.1752944670885626      1.9990977825222176      2.9543693003129046
9800    2.1312943613615603      1.958354998494407       2.8944032122182994
10000   2.1005424007280364      1.9191485611563617      2.845243324751828
10200   2.1224354896841775      1.8814387775957309      2.8362905848505426
10400   2.087456076507134       1.8452720386917165      2.78612666045965
10600   2.0496305846984333      1.8104918043254439      2.734751562255856
10800   2.0188020714079684      1.7769684196764948      2.689456928089514
11000   1.9857373997078938      1.744675461343689       2.643302004314581
11200   1.9559105831407395      1.7135255275568781      2.600337659387916
11400   1.9261629259492243      1.6834615315571155      2.558152916761214
11600   1.8931596604890824      1.6544766610759545      2.5142288126079886
11800   1.862999986813482       1.6264524475085393      2.473078347904399
12000   1.8327823659509066      1.5993763191829375      2.4325081318062978
12200   1.8780351740727275      1.57310028120438        2.4498286898841886
12400   1.8517171319323793      1.5477351060057851      2.4133670038049777
12600   1.8223974416267485      1.5232075299011403      2.375140756754271
12800   1.7989837920685163      1.4994153925561053      2.3419199823135286
13000   1.7713707861963217      1.4763848366456747      2.3059632798609457
13200   1.7447799414990537      1.4540431022504883      2.2712327902396234
13400   1.7191651434090975      1.4323643479974282      2.237676566380164
13600   1.699230182123928       1.4113025627770923      2.2088816481518663
13800   1.6781930913419643      1.390850713283799       2.1796324824313733
14000   1.654371624212938       1.371008528491617       2.1486297624760073
14200   1.6325775448732687      1.3517034027127888      2.1195309690895674
14400   1.6108560997357857      1.3329437716117891      2.090836309311336
14600   1.5904174330280887      1.314693309094703       2.0634548961045973
14800   1.5733137320283281      1.296929063067603       2.0389558832937795
15000   1.553906043189723       1.2796493738719523      2.012989446348992
15200   1.5359187566884356      1.2628196870376778      1.988406394356367
15400   1.5164344700072152      1.2464351969162801      1.962950381934752
15600   1.4970398184205487      1.2304786127542595      1.9378353475933594
15800   1.4832438834182093      1.2148977275126802      1.9172868606478806
16000   1.4843885356433344      1.1996780741023825      1.9085693087313764
16200   1.4670413178111152      1.1848728791911118      1.8857714516896287
